"No","大分類","誰が","画面","チェック内容（操作）","期待結果","種別","優先度","出典","結果（OK/NG/対象外）","メモ"
"26","初日セットアップ","管理者","会社情報","始業・終業・休憩を保存し、組織›勤怠設定を見る","同じ時刻。勤怠の所定も変わる","入力が渡る","必須","仕様","",""
"27","初日セットアップ","管理者","会社情報","見込度A/B/C%と特需デフォルト率","BI期待値に使われる","入力が渡る","必須","仕様＋シート1 50,52","",""
"28","初日セットアップ","管理者","会社情報","CloudSignキー（使う場合）／空のまま（使わない場合）","キーあり＝契約・追加変更・発注の送信。空＝PDF代替。空で送信できなくても必須OK","入力が渡る","必須","仕様","",""
"29","初日セットアップ","管理者","会社情報","全銀・振込元（依頼人コード・銀行・口座）","帳票全銀の初期ヘッダー。欠けたら本番の振込が出せない","入力が渡る","必須","仕様＋シート1 133","",""
"30","初日セットアップ","管理者","会社情報","代表者・郵便番号","会社情報に出る。他画面ではまだ使わない","現状どおりでOK","必須","仕様","",""
"31","初日セットアップ","管理者","CRMマスタ","ステージ並び・獲得ソース・タグ・部門粗利率・拠点","パイプライン列、顧客フォーム、見積の承認閾値、工事拠点、BI","入力が渡る","必須","仕様＋シート1 72,80","",""
"32","初日セットアップ","管理者","CRMマスタ","失注理由を追加","マスタには残る。失注操作の選択肢には出ない","現状どおりでOK","必須","仕様","",""
"33","初日セットアップ","管理者","メンバー","営業・現場担当・総務を招待（氏名・メール・ロール必須）。招待リンクで初回ログイン","入れる。ロールどおりメニューが出る","一連の流れ","必須","仕様＋シート1 36","",""
"34","初日セットアップ","管理者","メンバー","従業員区分（正社員／パート）","BIの1人当たり利益の係数（1.0／0.5）","入力が渡る","推奨","シート1 77","",""
"35","初日セットアップ","管理者","メンバー","招待再送・ロール変更・削除","再送できる。ロールはすぐ効く。削除後は入れない","画面","必須","仕様","",""
"36","初日セットアップ","新人","プロフィール","表示名・電話・部署・役職・文字サイズを保存","表示名が担当者に出る。文字サイズはすぐ効く","入力が渡る","必須","仕様","",""
"37","初日セットアップ","新人","セキュリティ","パスワードを6文字以上で変更","新しいパスワードで入り直せる","画面","必須","仕様","",""
"38","初日セットアップ","管理者","勤怠設定","休暇区分を追加し、勤怠画面のプルダウンを見る","追加した区分が出る","入力が渡る","必須","仕様","",""
"39","初日セットアップ","管理者","ワークフロー","種別・項目・承認ルートを自社用に保存","新規申請と見積粗利・契約承認の承認者に反映","入力が渡る","必須","仕様","",""
"40","初日セットアップ","管理者","通知設定","4トグルを切替","保存される。実メールや日報リマインダーにはまだ使われない","現状どおりでOK","必須","仕様","",""
"41","初日セットアップ","管理者","メール署名","署名を保存して /mail/compose を開く","本文末尾に入る。スレッド返信には自動で入らない","入力が渡る","必須","仕様","",""
"42","営業の現場","営業","問い合わせ","電話／来店を手動登録（名前・電話・メール・経路・分類・内容）","未対応で一覧に出る。この時点では顧客にならない","一連の流れ","必須","仕様","",""
"43","営業の現場","営業","問い合わせ","「顧客化」→「顧客を開く」","CRM顧客ができる。名前・電話・メール・経路・分類・内容・担当が入る。初回商談（inquiry）。問い合わせ日は顧客化当日","入力が渡る","必須","仕様","",""
"44","営業の現場","営業","問い合わせ","見送り","顧客は作られない。一覧フィルタで見送りが見える","画面","必須","仕様","",""
"45","営業の現場","管理者","問い合わせ","Webhookを有効化し、正しいシークレットでテスト取り込み","未対応が1件増える。自動では顧客化されない","一連の流れ","推奨","仕様＋シート1 107","",""
"46","営業の現場","管理者","問い合わせ","間違ったシークレットでWebhook","取り込まれない","権限","必須","仕様","",""
"47","営業の現場","営業","顧客","一覧／カード／パイプライン切替。初期は一覧","3ビュー。独立パイプライン画面は無い","画面","必須","シート1 1,2,3","",""
"48","営業の現場","営業","顧客","法人／個人の切替。会社名ありの顧客","一覧の法人タブに出る。見積PDFの御中に会社名","入力が渡る","必須","仕様","",""
"49","営業の現場","営業","記入画面","氏名・電話・メール・住所・担当・見込度・特需・予算上下限・きっかけ・分類を保存","一覧・詳細・契約甲・工事場所・PDFに出る。見込度はBI。上限は商談金額が無いときBIのフォールバック","入力が渡る","必須","仕様","",""
"50","営業の現場","営業","記入画面","部門・年齢・EIGHT-ID・独自項目","詳細やBIには出ない。契約PDF差し込み／customer_custom に使える","現状どおりでOK","必須","仕様＋シート1 4,5","",""
"51","営業の現場","営業","記入画面","タグ・ステータス","一覧・詳細・ダッシュボード。タグで絞り込みやBI集計はしない","現状どおりでOK","必須","仕様","",""
"52","営業の現場","営業","記入画面","LINE／Slack ID","契約のやり取り管理で使える。顧客見出しには出ない","入力が渡る","推奨","仕様","",""
"53","営業の現場","営業","記入画面","備考","PDFと録音AI更新。CRM詳細には出ない","現状どおりでOK","必須","仕様","",""
"54","営業の現場","営業","顧客 概要","商談・見積・契約・工事が一覧で見える","概要から辿れる","入力が渡る","必須","仕様","",""
"55","営業の現場","営業","商談","既存顧客に商談を追加（問い合わせなし。名前・金額・ステージ・担当）","カンバンに出る。金額は税抜。契約・工事・見積新規に渡る","一連の流れ","必須","仕様","",""
"56","営業の現場","営業","商談","カードを別ステージへドラッグ","保存され列が変わる。BI見込も動く","入力が渡る","必須","仕様","",""
"57","営業の現場","営業","商談編集","クロージング予定日・部門","BIの計上日・部門別に使われる。追加ダイアログには部門が無い","入力が渡る","必須","仕様","",""
"58","営業の現場","営業","商談","優先度・次アクション","カンバンと商談タブだけ。契約・BIには渡らない","現状どおりでOK","必須","仕様","",""
"59","営業の現場","営業","商談タブ","要約を保存し、テキストを選んでToDo追加","ToDoタブに出る。契約／PDFへは転記しない","一連の流れ","必須","仕様＋シート1 6,8,11","",""
"60","営業の現場","営業","録音","録音開始→停止","文字起こし・要約。失敗時はリセットでやり直せる","一連の流れ","推奨","仕様＋シート1 7-9","",""
"61","営業の現場","営業","録音","要約を保存し、顧客メールへ送信にチェック","要約メールが送れる（連携時）","一連の流れ","推奨","仕様","",""
"62","営業の現場","営業","ToDo","タイトル・期限で追加。Today/Upcoming/All。完了チェック","3カラム。期限切れはダッシュボード上部から辿れる","一連の流れ","必須","仕様＋シート1 10","",""
"63","営業の現場","営業","日程","区分・時間帯・所要→候補日提案→カレンダー登録。相手メンバーでカレンダーを見る","予定が本人と共有メンバーに出る","一連の流れ","必須","仕様＋シート1 12-14","",""
"64","営業の現場","営業","顧客 文書","図面・現地写真をアップロード","一覧／カードでDL。契約・工事の文書とは別に見える","入力が渡る","必須","仕様＋シート1 15,45","",""
"65","営業の現場","営業","商談 AI","ステージ／見込度の提案を適用","ステージまたは見込度が変わり、BI期待値に効く","入力が渡る","推奨","仕様","",""
"66","営業の現場","営業","商談","失注ステージへ落とす","契約は作られない。BIの見込から外れる。失注理由マスタは選択肢に出ない","一連の流れ","必須","仕様","",""
"67","見積の現場","営業","見積","顧客を選んで新規（件名・部門）。商談カードからも作る","一覧に出る。番号自動。顧客・金額が引き継がれる","一連の流れ","必須","仕様＋シート1 16,19","",""
"68","見積の現場","営業","見積詳細","大項目→明細（品名・数量・単位・原単価・見積単価・業者）","小計・税・合計・粗利が自動。大項目と明細が競合したら明細優先（上書き表示あり）","画面","必須","仕様＋シート1 18,57,68","",""
"69","見積の現場","営業","見積詳細","Enterで確定、D&Dで並べ替え、行を削除","順番が残る。削除できる","画面","必須","シート1 18,59","",""
"70","見積の現場","営業","見積詳細","業者を㈱／株式会社などゆれで打つ","候補が出る。未登録業者／予備費／経営調整費が選べる","入力が渡る","必須","シート1 58,66,71","",""
"71","見積の現場","営業","見積詳細","経営調整費（会社確保）と予備費（現場対応）の行","原価に入る。顧客向けPDFには出ない。予備費行は売価を入れられない。原価は入れられる","入力が渡る","必須","仕様＋シート1 61-65","",""
"72","見積の現場","営業","見積詳細","テキスト行（明細に紐づく／独立）","顧客向けPDFにも印字。計算・売価はゼロ","画面","必須","シート1 62,69","",""
"73","見積の現場","営業","見積詳細","コピー作成（版）","元見積をもとに新版ができる","一連の流れ","必須","仕様＋シート1 17","",""
"74","見積の現場","営業","見積詳細","他見積から項目を参照・D&D","行が追加される","画面","推奨","仕様","",""
"75","見積の現場","営業","見積詳細","顧客向けPDFと原価内訳PDF。工事の見積プレビューも見る","A4幅。予備費は顧客向けに出ない。原価内訳には出る","画面","必須","仕様＋シート1 46","",""
"76","見積の現場","営業","見積詳細","件名を詳細で変えようとする","変えられない（専用編集画面のみ）","現状どおりでOK","必須","仕様","",""
"77","見積の現場","営業","見積詳細","有効期限の入力欄","画面に無い。使っていない","現状どおりでOK","必須","仕様","",""
"78","見積の現場","営業","見積","部門の規定粗利以上なら確定","確定できる。受注時の最新見積になる","一連の流れ","必須","仕様＋シート1 72","",""
"79","見積の現場","営業→上長","見積","規定未満で申請→WFで差戻し→直して再申請→承認（条件付きも可）","同じワークフロー一覧に届く。承認後に確定できる","一連の流れ","必須","仕様＋シート1 72","",""
"80","見積の現場","営業","工事／契約","工事または契約の見積タブから作り、/quotes で見る","顧客をまたいで一覧できる","入力が渡る","必須","シート1 20","",""
"81","見積の現場","現場担当","発注","見積に入れた業者が発注先候補・台帳に繋がる","見積の業者が発注・納品・原価まで渡る","入力が渡る","必須","仕様＋シート1 70","",""
"82","受注〜契約","営業","パイプライン","受注ステージへドロップ","契約が自動登録。見積または工事へ進めるダイアログ","一連の流れ","必須","仕様","",""
"83","受注〜契約","営業","見積付き受注","契約を開き請負金額を目視","欄は税抜表示。見積合計（税込）が入ることがある。プレビューは×1.1するので二重に注意。運用判断する","入力が渡る","必須","仕様","","公開前に必ず目視"
"84","受注〜契約","営業","契約","手動で新規契約（顧客・件名・金額・工期・見積）","一覧に出る。工事新規の初期値になる","一連の流れ","必須","仕様","",""
"85","受注〜契約","営業","契約詳細","7タブ（顧客／やり取り／書類／承認WF／電子契約／ファイル／見積）","揃う","画面","必須","仕様＋シート1 24-33","",""
"86","受注〜契約","営業","契約 顧客","電話・住所を直して保存。CRMと工事を開く","同じ1件が更新される。工事場所も顧客住所","入力が渡る","必須","仕様＋シート1 24","",""
"87","受注〜契約","営業","やり取り","タブ名がやり取り管理。口座・建物情報。Linqで文面生成","旧合意形成サポートではない。LINE/Slack連携・クイック返信は未実装","現状どおりでOK","必須","仕様＋シート1 25-28","",""
"88","受注〜契約","営業","書類作成","工事請負を開く。同期を押す","甲＝顧客、名称・工期＝工事（工程表フォールバック可）、場所＝顧客住所、乙＝会社。『工事名称』ではない。空欄が埋まる","入力が渡る","必須","仕様＋シート1 127,128","",""
"89","受注〜契約","営業","書類作成","開いた直後に下書き保存して乙住所を見る","空のことがある。開き直すかPDF／送信直前に埋まる。空のまま送らない","入力が渡る","必須","仕様","",""
"90","受注〜契約","営業","書類作成","特記の固定はロック、都度だけ直す。約款はひな形時編集不可","テキスト編集を選んだときだけ約款を貼れる。遡りは着手日起算の固定文","画面","必須","シート1 123,124,126","",""
"91","受注〜契約","営業","書類作成","支払条件","初期は着工時30%などの固定文。顧客口座からは来ない","現状どおりでOK","必須","仕様","",""
"92","受注〜契約","営業","書類作成","テンプレを工事請負／設計監理／追加工事に切替。確定する","3種。内容が確定される","画面","必須","仕様","",""
"93","受注〜契約","営業→上長","承認WF","申請→差戻し→再申請→承認。電子契約タブを見る","未承認の間は電子契約がロック。承認後に開く。履歴が残る。WF一覧にも出る","一連の流れ","必須","仕様＋シート1 31","",""
"94","受注〜契約","営業","電子契約","CloudSignで送信（キーあり）","顧客へ届く。文面は電子文書のみ（書面2通ではない）","一連の流れ","推奨","仕様＋シート1 32,125","",""
"95","受注〜契約","営業","電子契約","キー無しで進める","PDF代替で出せる。送信できなくてよい","画面","必須","仕様","",""
"96","受注〜契約","営業","PDFフォーム","自動項目（顧客名・住所・名称・番号・金額・工期・本日）","埋まる。乙の差し込み項目は無い。税込欄は税抜×1.1","入力が渡る","推奨","仕様","",""
"97","受注〜契約","営業","契約 文書","契約ファイルを置く","顧客・工事の文書と別に見える","画面","必須","シート1 33","",""
"98","現場の一日","現場担当","工事","契約から新規。顧客・受注額・工期・見積が引き継がれる。担当・部門・拠点を付ける","一覧に出る。部門・拠点はBI。着工・完工は月次請求の按分（工程タスクは見ない）","入力が渡る","必須","仕様","",""
"99","現場の一日","現場担当","工事一覧","ステータス・担当で絞る","自分の現場だけ見られる","画面","必須","仕様","",""
"100","現場の一日","現場担当","工事詳細","8タブ。請求タブは出ない","顧客情報／工程表／見積もり／契約書／追加変更／工事台帳／発注書・請書／ドキュメント","画面","必須","仕様＋シート1 35","",""
"101","現場の一日","現場担当","顧客情報タブ","現場で聞いた電話を直す","CRMと同じ顧客が更新される","入力が渡る","必須","仕様","",""
"102","現場の一日","現場担当","工程表","着工〜完工の工程（名前・期間・依存・業者・担当）","ガント。日／週／月。工期は契約書のフォールバック","一連の流れ","必須","仕様","",""
"103","現場の一日","現場担当","工程表","バーをクリックして進捗・期間を直す。遅延／中断にする","保存される。一覧バッジが変わる（delayed / suspended）","一連の流れ","必須","仕様","",""
"104","現場の一日","現場担当","日報","工程表から日報を2日分（天候・人数・作業・課題）","残る。工程の名前・日付はコピーされない","一連の流れ","必須","仕様","",""
"105","現場の一日","現場担当","見積もりタブ","改訂版を作る","1工事に複数見積。/quotes にも出る","一連の流れ","必須","仕様","",""
"106","現場の一日","現場担当","契約書タブ","締結済みPDFをアップロード","工事から契約書を見られる","画面","必須","仕様","",""
"107","現場の一日","現場担当","ドキュメント","現場写真を上げ、/documents で同じ工事を絞る","工事タブと文書管理の両方で見える","入力が渡る","必須","仕様","",""
"108","現場の一日","現場担当","名称","『工事名称』『施工業者名』が残っていない","『名称』『業者名』","画面","必須","シート1 106,128","",""
"109","現場の一日","現場担当","工事","完工にしたあとダッシュボードの進行中工事","進行中から外れる（completed）","入力が渡る","必須","仕様","",""
"110","設計変更","営業＋現場","見積","施工中に変更後見積を作る","版が分かれる","一連の流れ","必須","仕様","",""
"111","設計変更","現場担当","追加変更","前後見積を選んで作成。差額を見る。承認／差戻し","差額自動。台帳の追加変更参照の元になる","一連の流れ","必須","仕様","",""
"112","設計変更","現場担当","追加変更","CloudSignまたはPDF","キー無しはPDF代替","画面","推奨","仕様","",""
"113","設計変更","現場担当","工事台帳","追加変更参照→追加契約列→一括発注","追加込み金額で発注ドラフト","入力が渡る","必須","仕様","",""
"114","台帳・発注","現場担当","工事台帳","参照で見積を選ぶ。再参照する","業者・工種・実行予算が転記。再参照は置き換え確認","入力が渡る","必須","仕様","",""
"115","台帳・発注","現場担当","工事台帳","白いセルを編集して離れる。予算残をマイナスにする","自動保存。緑セルは計算。マイナスは赤字","画面","必須","仕様","",""
"116","台帳・発注","現場担当","工事台帳","勘定科目を人が入れる／空のまま","空行は自動で埋まらない。人が入れた科目だけ次回候補（AI提案は学習しない）","入力が渡る","必須","仕様＋シート1 116","",""
"117","台帳・発注","現場担当","工事台帳","コメントモード","セルにメモが残る","画面","推奨","仕様","",""
"118","台帳・発注","現場担当","工事台帳","単行の発注","発注書タブへ事前入力。金額は実行予算のみ（追加契約を含まない）","入力が渡る","必須","仕様","",""
"119","台帳・発注","現場担当","発注書","職人マスタから業者を選び、支払3回で作成","スケジュールが3行。1/2/4/6/12／その他も選べる","一連の流れ","必須","仕様","",""
"120","台帳・発注","現場担当","発注書","見積から取得","明細から発注が複数できることがある","画面","推奨","仕様","",""
"121","台帳・発注","現場担当→上長","発注書","申請→承認","承認後に請書・CloudSignへ進める","一連の流れ","必須","シート1 108","",""
"122","台帳・発注","現場担当","請書","受領前に社内で請書を開く","受領前は社内から請書を確認できない","画面","必須","シート1 108","",""
"123","台帳・発注","業者","/partner/[token]","ログインせず発注書を見て受領","請書が自動。受領後は請書も見える。他案件は見えない","一連の流れ","必須","仕様＋シート1 43,108","",""
"124","台帳・発注","現場担当","請書","紙の業者で請書を受領済みにする","受領日が付き、納品へ進める","一連の流れ","必須","シート1 108","",""
"125","台帳・発注","現場担当","発注CloudSign","キーありで送る","送れる。発注書PDFのCloudSign添付は未実装","現状どおりでOK","推奨","シート1 108","",""
"126","納品・検収","現場担当","/fulfillment","開く。案件・業者・ステータス・紙発注のみで絞る。列ソート","ステータスカードがある。ボタンがステータスで変わる","画面","必須","シート1 117","",""
"127","納品・検収","現場担当","/fulfillment","請書未受領で納品","できない","画面","必須","仕様","",""
"128","納品・検収","現場担当","納品","一括で納品日・内容・写真を登録","検収待ち。納品日＝帳票の取引日","一連の流れ","必須","仕様＋シート1 118","",""
"129","納品・検収","現場担当","納品","分納で発注額未満を登録","残行ができる。残も同じように検収・請求する","一連の流れ","必須","仕様＋シート1 118,139","",""
"130","納品・検収","現場担当","検収","不合格／差戻し","発注済みに戻る。納品添付はクリア","一連の流れ","必須","仕様＋シート1 122","",""
"131","納品・検収","現場担当","検収","メール業者を合格。一覧からURL再送","請求待ち。業者メールにURL（30日）。再送できる","一連の流れ","必須","シート1 119","",""
"132","納品・検収","現場担当","検収","紙発注を合格","URLは送らず、紙／PDF案内（メールがあれば）","一連の流れ","必須","シート1 119,130","",""
"133","納品・検収","業者","業者ポータル","6桁後に請求日・登録番号（T+13）を入れて送る","金額は発注から（固定）。口座表示。一覧が請求書受領。業者住所は空のことがある。会社名・住所は発注元として出る","一連の流れ","必須","仕様＋シート1 120","",""
"134","納品・検収","総務","紙発注","PDF添付（金額一致）","請求書受領。帳票は添付金額","一連の流れ","必須","シート1 130,135","",""
"135","納品・検収","総務","紙発注","金額変更＋チェックなし","進めない","画面","必須","シート1 135","",""
"136","納品・検収","総務","紙発注","金額変更＋確認チェック","請求書受領。金額差。帳票は添付金額","一連の流れ","必須","シート1 135","",""
"137","納品・検収","現場担当","職人","受領方法を紙に変え、納品・検収を見る","琥珀色＋紙発注。紙発注のみで絞れる","入力が渡る","必須","シート1 130","",""
"138","納品・検収","ディレクター","請求確認","確認済みにする","まだ帳票対象ではない。経理承認より先に確認が必要（サーバー強制）","一連の流れ","必須","シート1 121","",""
"139","納品・検収","経理","経理承認","承認する","帳票対象になる","一連の流れ","必須","シート1 115,121","",""
"140","納品・検収","全員","紙スキャンAI","フォルダ投入やAI読取","無い（フェーズ1対象外）","現状どおりでOK","必須","シート1 131","",""
"141","月末経理","経理","帳票","名称が帳票データ作成。全銀／CSVタブ","銀行別CSVは無い","画面","必須","シート1 109,110","",""
"142","月末経理","経理","帳票","未承認の請求","全銀にもCSVにも出ない","入力が渡る","必須","シート1 115","",""
"143","月末経理","経理","全銀タブ","同じ業者の承認済み請求が2件ある状態で見る","業者＋口座で1行に合算。列は業者・口座・カナ・請求額・手数料・振込額。部門・科目列なし。ソート可","入力が渡る","必須","シート1 111,114","",""
"144","月末経理","経理","全銀","振込指定日・手数料負担・依頼人を今回分上書きして出力","120バイトSJIS。依頼人・銀行コードが入る。初期依頼人は会社情報","一連の流れ","必須","仕様＋シート1 133","",""
"145","月末経理","経理","全銀","口座欠けの職人","全銀できない","画面","必須","仕様","",""
"146","月末経理","経理","CSV","請求ごとに1行。列をチェックして書き出し","同じ業者でも請求が分かれれば別行。選んだ列だけ。科目未確定は警告（全銀には科目不要）","画面","必須","シート1 112,113,116","",""
"147","月末経理","経理","勘定科目","未確定を業者単位で確定して帳票へ戻る","次回候補。空行を自動で外注加工費にしない。経理確定は学習の重みが大きい","入力が渡る","必須","仕様＋シート1 116,134","",""
"148","月末経理","経理","帳票","紙添付で金額を変えた請求","帳票の請求額は添付金額","入力が渡る","必須","シート1 135","",""
"149","職人","現場担当","職人","初期が一覧。カードへ切替。専門で絞る","一覧・カードの順","画面","必須","シート1 21","",""
"150","職人","現場担当","職人","名前・会社・電話・メール・受領方法を登録し、見積と発注で選ぶ","発注先・納品・OTP・CloudSign署名者に出る","入力が渡る","必須","仕様","",""
"151","職人","経理","職人","銀行コード・支店・種目・口座・受取人名カナ","全銀に出る。欠けたら全銀不可","入力が渡る","必須","仕様","",""
"152","職人","現場担当","職人","ランク・スキル・エリア・契約単価・支払い予定","詳細だけ。発注金額・BIには使わない。作業履歴は発注と繋がらない","現状どおりでOK","必須","仕様＋シート1 22,23","",""
"153","職人","管理者","職人","未登録業者／予備費／経営調整費を削除しようとする","削除できない","画面","必須","シート1 66","",""
"154","職人","管理者","職人マスタ","職種・資格を追加","職人フォームの選択肢にはまだ出ない","現状どおりでOK","必須","仕様","",""
"155","施主請求","総務","/invoices","ナビに無いことを確認し、直打ちで開く","権限があれば入れる。サイドバーには出ない","画面","必須","仕様＋シート1 35","",""
"156","施主請求","総務","/invoices","会社締日＋工事の着工・完工で月次一括生成","工程表のタスクは見ない。明細に工事名称（名称）が載る","一連の流れ","必須","仕様","","施主請求を使う会社は必須。使わないなら対象外とメモ"
"157","施主請求","総務","/invoices","宛名・期日・明細を直し、送付→入金済み","ダッシュボードの未入金が減る。印刷／PDFできる","入力が渡る","必須","仕様","",""
"158","現場の日常","全員","ダッシュボード","受注したあとKPI（受注額・パイプライン・未入金・承認待ち・進行中工事）","今作ったデータが数字に出る","入力が渡る","必須","仕様","",""
"159","現場の日常","現場担当","ダッシュボード","出勤／退勤。勤怠画面を開く","同じ記録。ステータスが出勤中→退勤済","一連の流れ","必須","仕様","",""
"160","現場の日常","全員","ダッシュボード","表示設定とDnD。再読み込み","本人のレイアウトが残る。ユーザー別KPIの自由編集は未実装","現状どおりでOK","必須","仕様＋シート1 56","",""
"161","現場の日常","現場担当","勤怠","追加した休暇区分で記録。管理者が承認／却下","月次に出る。所定は会社の始業終業","入力が渡る","必須","仕様","",""
"162","現場の日常","現場担当","ワークフロー","経費申請→差戻し→再申請→承認。見積承認も同じ一覧","承認／条件付き／差戻し／却下。見積と契約の申請もここに届く","一連の流れ","必須","仕様","",""
"163","現場の日常","管理者","回覧","ピン留め通常投稿と、緊急＋現場担当ロール","対象だけ一覧に出る。既読が付く。緊急未読でBombAlert。チャット未読では出ない。確認後は再表示しない","一連の流れ","必須","仕様","",""
"164","現場の日常","現場担当","カレンダー","現場予定を作り共有。日／週／月","共有メンバーに見える。表示フィルタは端末のみ（永続化なし）","入力が渡る","必須","仕様","",""
"165","現場の日常","営業","設定›外部連携","Googleカレンダーを連携し、/calendar を見る","表示期間のprimaryが出る。操作は設定側","入力が渡る","必須","仕様","",""
"166","現場の日常","営業","メール","Gmail連携→同期→新規作成（署名入り）→スレッド返信","同じスレッドに付く。返信先は推定でき編集できる","一連の流れ","必須","仕様","","Gmailを使う会社は必須。使わないなら対象外"
"167","現場の日常","営業","メール","IMAPスレッドで返信","返信できない。作成は /mail/compose","現状どおりでOK","必須","仕様","",""
"168","現場の日常","営業","メール","既読・スター","残る","画面","推奨","仕様","",""
"169","現場の日常","全員","文書","カテゴリを追加し、顧客／工事付きでアップロード","一覧／グリッド、検索、DL、工事タブ","入力が渡る","必須","仕様","",""
"170","現場の日常","全員","チャット","送受信して再読み込み","残る。未読でもBombAlertは出ない。AIから担当へ転送は推奨","画面","必須","仕様","",""
"171","経営確認","経営層","/bi","年度を変える","会計開始月どおり（初回だけ一瞬4月になることがある）","入力が渡る","必須","仕様","",""
"172","経営確認","経営層","/bi","文言が粗利額／営業利益","そのうちのもうけ／最終のもうけではない","画面","必須","シート1 73,74","",""
"173","経営確認","経営層","/bi","期首に売上目標・間接費・販管費・部門／拠点目標","KPI・達成率・部門カード。カードはDnD可","入力が渡る","必須","仕様","",""
"174","経営確認","経営層","/bi","部門をクリック","右から案件一覧（顧客名は権限による）","画面","必須","シート1 75,84","",""
"175","経営確認","経営層","顧客＋商談","見込度付き顧客と商談金額を入れ、BIを見る","期待値＝金額×確度%。特需ONは通常見込度を使わず独自%（無ければ会社の特需率）","入力が渡る","必須","仕様＋シート1 50,52","",""
"176","経営確認","経営層","顧客","商談金額なし・予算上限ありでBI","上限が期待値のフォールバック","入力が渡る","必須","仕様","",""
"177","経営確認","経営層","/bi","1人当たり営業利益（正社員／パート）","タブで切り替わる","入力が渡る","推奨","シート1 77","",""
"178","経営確認","経営層","/bi","速報値／確定値","決算がfinalなら確定値あり。無ければ当期は速報値","画面","必須","シート1 83","",""
