https://docs.google.com/spreadsheets/d/1KjKjWfoMop1dA5tM9FcFEkqlBBbek7fAYgEtfnmIREs/edit?gid=0#gid=0,,,,,,,,,,
,No.,画面カテゴリ,セクション／タブ,ステータス,区分,タスク内容,該当箇所画像URL,詳細・補足,HGコメント,SHコメント
,18,見積もり一覧画面,見積もり作成,HG確認完了,修正,大項目／詳細項目の階層構造化,https://drive.google.com/file/d/1GokICu6OxcmXeTM6GM4BoKBcDgRlxx4L/view?usp=drive_link,見積もり作成画面の項目を大項目・詳細項目で階層化,大項目及び詳細項目にて、テキスト入力後Enterキー押下で確定+確定したはずのテキストが追加項目として表示される,
,19,見積もり一覧画面,見積もり作成,HG確認完了,修正,作成フロー：顧客選択→情報取得→作成画面,,「見積作成」クリック→顧客選択タブor検索を表示→顧客選択でその顧客情報を取得した作成画面を表示,　,
,20,見積もり一覧画面,見積もり作成,HG確認完了,追加,工事管理・契約管理の見積もりタブと連携,,工事管理で顧客ごとに作成した見積もりを、顧客縛りなく横断で閲覧可能に。【脱線】見積もり作成に工事管理での顧客登録が必須となるため、契約管理画面にも同様の見積もりタブが必要（営業が契約管理で工事前対応中も見積作成しうるため）,　,
,21,職人管理画面,職人管理タブ,HG確認完了,修正,デフォルト表示を一覧表示に変更,,カード表示ではなく一覧表示をデフォルトとする,正「一覧・カード」誤「カード・一覧」（現在の一覧変更タブ）,
,22,職人管理画面,職人管理タブ,HG確認完了,修正,実績セクションを横幅いっぱい表示,,現在の備考セクションのように、横幅いっぱいで作業履歴を表示。作業に関わった案件が一覧表示される,　,
,23,職人管理画面,職人管理タブ,HG確認完了,追加,スキル／対応可能エリア／契約単価／支払いセクション追加,https://drive.google.com/file/d/1SvkHdpFyDITq-0DtL6plpubQKvVsZUQ0/view?usp=drive_link,スキル、対応可能エリア、契約単価、支払い予定・履歴一覧セクションを追加,対応可能エリア入力時、Enterキー押下後テキストが残る,
,24,契約管理画面,顧客情報タブ,HG確認完了,修正,顧客情報を横断共通化,,顧客・商談管理／契約管理／工事管理を横断して共通の情報を保持,　,
,25,契約管理画面,やり取り管理タブ,HG確認完了,修正,旧「合意形成サポート」タブの名称変更,https://drive.google.com/file/d/1nB1_Ml7a6iRXVwDp76CC8eYM-M8eUWoP/view?usp=drive_link,名称を「やり取り管理」に変更,テキスト変更は問題なし。タブのサイズを別画面と同様全画面表示に修正してください。,
,26,契約管理画面,やり取り管理タブ,保留,追加,外部メッセージプラットフォーム連携,,LINE／Slack／メール連携。お客様と営業の「言った言わない」防止＋要望の取りこぼし防止。プラットフォーム選択→やりとり履歴取得→AIが重要と認識した合意事項を「重要な合意事項」セクションに表示（対応済／未対応のチェックorアイコン表示）,　,
,27,契約管理画面,やり取り管理タブ,保留,追加,クイック返信機能,,選択したプラットフォームに連絡を送信可能にする,　,
,28,契約管理画面,やり取り管理タブ,HG確認完了,追加,契約後の情報入力セクション,,お客様の支払い口座情報や建物関連情報（法規上必要なもの）を一覧で確認可能に,　,
,29,契約管理画面,書類作成タブ,HG確認完了,修正,旧「契約書ドラフト作成」タブ,,タブ名は「書類作成」に変更,　,
,30,契約管理画面,書類作成タブ,HG確認完了,追加,契約書テンプレート機能,,テンプレートを管理者のみ閲覧可能な画面で設定→ユーザーはテンプレート選択するだけで、顧客情報に登録済の情報が自動転記された契約書をPDFプレビュー表示＋ダウンロード＋送付,　,
,31,契約管理画面,承認ワークフロータブ,SH2完了,追加,最新契約書を詳細画面のまま申請可能,,ポータルのワークフローと連携。履歴も確認可能,　,
,32,契約管理画面,電子契約タブ,保留,追加,クラウドサイン連携での電子契約送信,,ワークフロー通過後、クラウドサインを利用してお客様に契約書を送信。件名とメッセージを記入してメールアドレス宛に送信可能,　,
,33,契約管理画面,ドキュメント一覧タブ,HG確認完了,追加,契約関連ドキュメントの格納タブ,,顧客・商談詳細のドキュメント、工事管理のドキュメントと連携,　,
,34,全画面共通,AIチャット,保留,追加,AIチャット（BLIDGE AI）の導入,,画面右下にアイコンのインタラクティブボタンを配置→クリックで画面左スライドインでチャット画面表示。開いている画面に応じて挨拶が変化（例：工程表→「工程表についてお手伝いできますか？」／見積もり画面→「見積もりについてお手伝いできますか？」）,　,
,35,メニュー,削除メニュー,SH2完了,削除,請求管理・予算管理メニューの削除,https://drive.google.com/file/d/11BM9_W-S3Z1Mp4u3pSfW-zBr7AejyC7P/view?usp=drive_link,※元々の追加目的を再確認したい（コメントあり）,これはまだ残っている認識で良いですか？,
,36,メニュー,追加メニュー,SH2完了,修正,管理者設定メニューの追加,,管理者設定の詳細でPDFビルダー／アカウント管理／権限・ロール管理ができるように。※追加で設定すべき内容があれば要ヒアリング,PDFビルダーの項目パレットはドラッグ&ドロップで配置できるようにしたい,
,37,ロール定義,デフォルトロール,HG確認完了,修正,管理者（Admin）,,システム全体の設定・管理を行う最高権限ロール。ロール作成・編集、ユーザー管理、システム設定、AI自動アサイン設定などを担当,　,
,38,ロール定義,デフォルトロール,HG確認完了,修正,経営層（Executive）,,経営判断に必要な情報を参照・分析する経営者・役員向け。BIダッシュボード活用、稟議承認などを担当,　,
,39,ロール定義,デフォルトロール,HG確認完了,修正,営業（Sales）,,顧客対応・商談・見積作成を担当。リード対応、商談管理、AI議事録活用などを担当,　,
,40,ロール定義,デフォルトロール,HG確認完了,修正,現場担当（Field Manager）,,工事の進行管理・協力業者との調整を行う現場責任者向け。工事進捗管理、発注・請書管理、現場報告などを担当,　,
,41,ロール定義,デフォルトロール,HG確認完了,修正,設計士（Designer）,,設計図面の作成・管理を担当。図面管理、設計関連書類管理などを担当,　,
,42,ロール定義,デフォルトロール,HG確認完了,修正,総務（Administration）,,勤怠管理・ワークフロー・会計データ処理を担当。勤怠管理、稟議対応、会計データエクスポート、文書管理などを担当,　,
,43,ロール定義,特殊ロール,HG確認完了,修正,外部協力業者（External Partner）,,システムにログインせずURL経由で限定的にアクセス。発注書URLを受信→画面で確認→受領操作で請書を自動送信、PDFダウンロードも可能。ログイン不要、特定案件情報のみアクセス可能,　,
,44,ロール定義,拡張,HG確認完了,修正,自由追加ロール,,会社に応じてロールを新規作成。閲覧権限なども自由に変更可能にしておく,　,
,45,顧客詳細,ファイルアップロードタブ,HG確認完了,修正,ファイリング,,工事詳細のドキュメント一覧のように一覧、カード表示及び、ダウンロード可能な形式に修正,　,
,46,見積もり一覧画面,PDFプレビュー,SH完了,修正,PDFプレビュー画面のリサイズ,https://drive.google.com/file/d/1NRyrcK-gFAqs2E88NrTeWPBFZaTL8-7D/view?usp=drive_link,PDFプレビュー画面の横幅が極端に小さいため、レスポンシブ表示させる（最大でもA4サイズ）,"テキストに対して画面背景が小さいので修正していただきたいです。
工事管理→見積もり→見積もりプレビュー",見積プレビューをA4幅（210mm+余白）に拡大。発注書・請書プレビューも同じ幅。2026-08-30 実装。
,47,BIダッシュボード,昨対比,HG確認完了,追加,月次累計の昨対比表示,,月ごとに累計昨対比を表示（現状は現時点のみ）。年度合計と月次の両方で確認できる形にする,,
,48,BIダッシュボード,昨対比,HG確認完了,修正,部門別の実績表示,,追加で昨対比をドメイン別に表示。,ドメインをスライドインで開いた時にグラフを表示したいです,
,49,顧客詳細,見込み精度,保留,追加,AIによる見込み精度判定トリガー,,"営業が入力した見込み角度をAIが判断し、正確な値を出すためのトリガーを設計。
商談データ（ステージ・経過日数・やり取り履歴等）からAIが確度の妥当性を判定し、甘い見込みにアラート・修正提案を出す。（No.50に依存）",,
,50,顧客詳細,見込み確度の追加,HG確認完了,追加,見込み確度を追加,,"見込みA・B・Cといった見込度を入力できる項目を記入画面および概要に追加。この項目をもってBIダッシュボードの情報に反映されるものとする
AおよびBおよびCの確度が何%に設定するかは各社バラバラ",,
,51,BIダッシュボード,粗利率,HG確認完了,検討,予備費（非表示%）の設定,,"実行予算および見積もり画面にて実装済みの予備費についての検討
実際の粗利をそのまま全社に見せると、予算消化が緩む懸念がある。販管費側で隠すより製造原価の実効予算段階で予備費として抜く方が透明性が高いという結論。
管理者ロールでのみ予備費を設定できる→実行予算or見積もり作成時に予備費を含めた会社指定粗利に達しないと上司へアラートが飛ぶ（すでに実装ずみの認識）→通常時はBIダッシュボード上で、予備費を抜いた売り上げを表示→決算時に予備費分が利益として戻る。（常に上振れの状態を作るため）",,
,52,顧客詳細,見込みカテゴリ,HG確認完了,追加,特需カテゴリの追加,,"見込みとは別に大型案件用カテゴリを新設する。その場合、通常の見込みの確度は使用せず、その物件独自の確度を入力できる必要がある。
通常の一律パーセンテージでは機能せず、1件の成否で見込み全体が大きく狂ってしまうため。
BIダッシュボード上では特需を含めるか含めないかを洗濯できるようにしておく",,
,53,顧客詳細,見込みカテゴリ,保留,検討,B・C見込みの確度定義・整理・再設計,,BおよびC見込みに関しては各営業によってバラバラ。No.49に関連するが、再度B・C見込みの判定基準を明文化し、それを営業が守っているか確認するアクションが必要,,
,54,BIダッシュボード,UI全般,保留,修正,UI改善（見やすさ・意思決定支援）,,数字を見た上で経営判断がすぐ下せる構造に改善。,こちら側でもどんな情報が欲しいか整理します。,
,55,全般,カレンダー,HG確認完了,検討,カレンダーUIの修正,,"日付入力項目を開いた時のカレンダーUIを変更したい。
デフォルトカレンダーから独自カレンダーに",,
,56,ダッシュボード,KPI指標,保留,追加,ユーザー単位でのKPI指標の表示,,ユーザー単位でKPI指標を自由に編集可能にしたい。（例：営業Aのアポ数、商談件数、成約数（率）など）,表示設定画面内でKPIをドラッグ&ドロップで変えられるようにしたい。,
,57,見積もり,大項目,HG確認完了,修正,大項目も詳細項目のように、形状・嫡要、発注業者、数量、単位、原単価、見積もり単価が入力できるように戻す,,,,
,58,見積もり,発注業者,HG確認完了,修正,業者候補のリアルタイム表示,,発注業者にテキストを入力すると、リアルタイムで候補が表示されるように修正,「もしかして？」みたいなイメージ,
,59,見積もり,ドラッグ&ドロップ,SH完了,修正,項目のドラッグ&ドロップを再実装,,大項目、詳細項目問わずドラッグ&ドロップで移動ができるようにする,,ドラッグハンドル付きD&Dを再確認。大項目は明細と衝突しないよう衝突判定を分離。2026-08-30。
,60,見積もり,チェックボックスの意味,HG確認完了,検討,チェックボックスの廃止可否,,削除にしか使わないチェックボックスであれば必要ないので削除したい,,
,61,見積もり,予備費,HG確認完了,修正,発注業者選択で予備費を選択できるようにする。No.58関連,,予備費を選択することで顧客向け見積書に表示されない行としたい,,削除しました
,62,見積もり,テキスト行,HG確認完了,修正,テキスト行のPDF表示に関して,,テキスト行は顧客向け見積書にも表示されるようにする,,
,63,見積もり,予備費,HG確認完了,修正,「予備費」の名称を「経営調整費」に変更,,会社が規定%を持ち、担当者が触れない方の費目。UI・帳票・ツールチップ・ヘルプの全箇所を変更する,旧「予備費」＝新「経営調整費」。No.64と入れ替えの関係にあるため、必ず同一リリースで出す。片方だけ先に出すと「予備費」がどちらを指すか一時的に壊れる,
,64,見積もり,予備費,HG確認完了,修正,「予備予備費」の名称を「予備費」に変更,,担当者が工事中のリスクに備えて計上する方の費目。会社が規定値を持ち、担当者は上振れ方向のみ調整可（規定値を下回る操作は不可）,旧「予備予備費」＝新「予備費」。No.63と同一リリース必須,
,65,見積もり,予備費,HG確認完了,修正,予備費行の売価入力を不可にする,,発注業者に予備費を選択した行は売価（見積金額）を入力できないようにする。売価ゼロで登録し、顧客向け見積書には印字しない。No.61関連,⚠️ 売価ゼロでも原価は入力できる必要がある。 売価ゼロ＝完全な文字専用行、ではない,
,66,見積もり,発注業者,HG確認完了,追加,業者マスタに「未登録業者」「予備費」を追加,,未登録業者＝会社が正式登録していない業者。担当者が新規業者を使うときは原則これを選ぶ。予備費＝実在業者ではなく予備費行であることを示す印。No.61関連,業者マスタに実在しない概念を混ぜる設計になる。「種別」列（実業者／システム予約）を持たせるほうが後で壊れにくい。未登録業者のまま放置される件数は管理画面で可視化しないと溜まる,
,67,見積もり,予備費,HG確認完了,検討,工種別に予備費行を積めるようにする,,「大工工事の予備費」「電気工事の予備費」のように、工種ごとに行を追加して予備費を積めるようにしたい,名称に「予備費」と書いて判別する案が出ているが、文字列判定は脆い。行に予備費フラグを持たせる設計に寄せたい,
,68,見積もり,大項目,SH完了,修正,大項目と詳細項目の値が競合した場合は詳細項目を優先,,大項目に直接入力した値と、配下の詳細項目の合計が競合した場合は詳細項目側を採用し、大項目の値を上書きする。No.57関連,上書きされた大項目の値が黙って消えると事故になる。「詳細項目により上書き」の表示が要る,大項目に直接入力があるときだけ「詳細項目により上書き」を表示するよう修正。削除ボタンは大項目・明細・テキスト行に実装済み。2026-08-30。
,69,見積もり,テキスト行,SH完了,修正,テキスト行を2種類に分ける,,①詳細項目に紐づくテキスト行（親の移動・削除に追従する）②独立したテキスト行（どこにでも置ける）。No.62関連,"「クロス SPランクの場合はマイナス3,000円」のような備考を印字したいケースが用途例",紐づきテキスト行と独立テキスト行の2種に加え、各行の削除ボタンを確認。2026-08-30。
,70,見積もり,発注業者,HG確認完了,検討,見積画面に発注業者欄が存在するかの現況確認,,見積明細に発注業者を入力する欄があるかどうか、社内で認識が割れている。実装状況を確認してから No.58・No.61・No.66 に着手する,見積の明細に入れた発注業者は発注書・工事台帳・原価実績まで繋がる。無い場合は追加が前提になる,
,71,見積もり,発注業者,SH完了,修正,業者名の表記ゆれを候補表示で吸収する,,「㈱」「株式会社」「カタカナ」など表記が混在した状態で入力されるため、候補表示の際に吸収する。No.58関連,現場は表記を統一して打たない。ここまで含めないと使われない,見積の業者候補は会社名＋表記ゆれ対応済み。発注書タブも会社名表示・照合に修正。2026-08-30。
,72,見積もり,粗利,HG確認完了,検討,規定粗利を下回る見積の上司承認ゲート,,部門を選ぶと規定粗利率が決まり、それを下回ると上司の確認が必要になる。部門別の工事粗利率は20%台〜90%台まで幅があり、全社一律の規定値では機能しない,2026-03-19／04-06 に同趣旨の決定がある。新規要望ではなく再確認のため、実装済みかの確認が先,
,73,BIダッシュボード,会社のもうけ,HG確認完了,修正,「そのうちのもうけ」を「粗利額」に変更,,表示文言の変更,どの粗利かを決めないと名称だけ変えても意味が定まらない。No.76 とセットで確定させる,
,74,BIダッシュボード,会社のもうけ,HG確認完了,修正,「最終のもうけ」を「営業利益」に変更,,表示文言の変更,素直に会計用語でよい、との判断で確定済み。すぐ着手できる,
,75,BIダッシュボード,部門別,HG確認完了,追加,部門クリックでPJ一覧をスライドイン表示,,部門をクリックすると右側からスライドインするパネルに、その部門の案件一覧を表示する。部門として粗利率が規定を下回った場合、どのPJが下回っているかを特定するため,予算書の部門別シートが実際にこの形（部門→案件明細）。案件行は 顧客名／PJ名／売上／粗利率／工事粗利／原価 の6列で持てば予算書と揃う,
,76,BIダッシュボード,粗利率,保留,検討,「粗利」の定義を1つに確定させる,,工事粗利率（売価−直接原価のみ、43〜47%）／工事粗利ベースの売上総利益率（36%）／会計上の売上総利益率（29%）の3通りがある。違いは人件費を製造原価に置くか販管費に置くかで、営業利益は変わらず粗利率だけが動く。No.51関連,No.73・77・78・95 すべての前提。 BIに粗利を出すならどれなのかをラベルで明示する,定義は未確定。BIは工事粗利と会計上の売上総利益を併記し、一本化は未了。2026-08-30 コード確認。
,77,BIダッシュボード,会社のもうけ,HG確認完了,追加,1人当たり営業利益をタブ切り替えで表示,,営業利益 ÷ 換算従業員数。換算従業員数＝正社員×1.0＋パート・アルバイト×0.5,分母の定義は No.78 と共通化して一度だけ決める,
,78,BIダッシュボード,会社のもうけ,保留,追加,1人当たり売上総利益を追加,,売上総利益 ÷ 換算従業員数。従業員マスタに「正社員／パート・アルバイト」の区分が必要,分子は No.76 で確定させた定義を使う。まず 0.5 固定で実装し、係数は後から基礎設定で変更できるようにするのが現実的,
,79,BIダッシュボード,ヘッダ,HG確認完了,追加,右上に「決算書」ボタンを設置,,クリックで決算書画面へ遷移する,決算書は全社員が見るものではないため権限を絞る,
,80,BIダッシュボード,部門別,HG確認完了,検討,部門軸と拠点軸の2軸に対応する,,予算書は部門9種（企画／商業施設／小型店舗／オフィス／住宅リノベ／賃貸／新築住宅／その他／美容）× 拠点4種のクロスで作られている。売上・原価は部門別、販管費は拠点別に積まれている,現行が部門1軸ならマスタ設計から見直しが必要。後付けは高くつく,
,81,BIダッシュボード,見込み区分,保留,検討,案件の確度区分を予算書と揃える,,予算書は 契約済み／A見込／B見込／見込なし の4区分。システムは A／B／C の3区分。予算書の「見込なし」は未接触の計画枠で意味の層が違い、実際に部門売上の半分以上がこの枠から積まれている。No.52・No.53関連,システム側の設計判断ではなく経営側の合意が要る。決着前に実装しない,経営合意前のため実装していない（A/B/Cのまま）。予算書の4区分（契約済み／A見込／B見込／見込なし）とは未揃い。2026-08-30 確認。
,82,BIダッシュボード,UI全般,HG確認完了,検討,金額の表示単位を切り替えられるようにする,,予算書・決算書は千円単位表示。円単位のままでは桁が読めない,内部は円で保持し、表示だけ千円・百万円に丸める。丸めた値を再計算に使わない,
,83,BIダッシュボード,UI全般,HG確認完了,検討,速報値と確定値のラベル表示,,会計ソフトから取った実績と、決算仕訳を通した確定値には差がある（同一年度で営業利益が約130万円違う）。数字が後から動くこと自体は正常,いつ時点のデータかを画面上に明示する,"決算書（/financials）を開く
対象年度の決算書を作る／取り込む（最初は「ドラフト」）
数字を確認して 「確定する」 を押す
これでステータスが final になり、BIに「確定値あり」が出ます。
確定前（ドラフトだけ／決算書なし）のときは、当期なら「速報値」表示です。"
,84,BIダッシュボード,部門別,HG確認完了,検討,案件一覧に表示する顧客名の権限制御,,部門別の案件一覧には個人顧客の実名が並ぶ。No.75関連,権限による表示制御が要る。開発用のサンプルデータからは実名を外す,"権限マトリクスに 「BI顧客名表示」 を追加しています。既定は本部管理者・管理者・経営層で、チェックを付けたロールだけ顧客名が見えます。

設定 → 組織 → ロール・権限設定 の一番下付近です。変更後は「権限を保存」を押してください。"
,85,決算書,全体,HG確認完了,追加,決算書作成画面の新設,,エクセルライクな表形式。見積もり作成画面を流用する方針。最初は空白の状態で開く,見積は「明細の積み上げ」、決算書は「勘定科目の階層集計」でデータ構造が根本的に違う。UIコンポーネントの流用に留め、データモデルは分ける,
,86,決算書,表構成,HG確認完了,修正,貸借対照表タブを削除し、損益計算書1枚＋ドリルダウンにする,,2026-07-31 変更。 貸借対照表は No.88 の列（予算／実績／前期比）に合わず、BIにも使わないため削除。損益計算書を1枚で表示し、「売上原価」行をクリックすると製造原価報告書が右からスライドインする,実物の規模は BS 144行・PL 100行・製造原価報告書 43行。BSの144行を作らない分だけ実装が軽くなる。売上原価とその内訳という親子関係が画面上で見えるのが利点,
,87,決算書,マスタ,HG確認完了,追加,勘定科目マスタを持たせる,,区分（現金･預金／売上債権／棚卸資産…）→ 勘定科目 → 合計行 の3階層。BS／PL／製造原価のどれに属するかの区分も持つ,勘定科目は会社ごとに違う。テナントごとに科目マスタを持てる形にしないとマルチテナントで破綻する。No.91の前提,
,88,決算書,列構成,HG確認完了,修正,当期予算／実績／構成比／前期実績／前期比／差異理由・備考 の6列にする,,2026-07-31 変更。 前期繰越／期間借方／期間貸方は残高試算表（会計ソフトの内部形式）の列で、経営は見ないため使わない。実物の予算説明資料の列構成に合わせる。構成比は対売上比,「差異理由・備考」は手入力列。この画面は数字を見るだけでなく書き込む画面になる。実績列の見出しは会社ごとに変わる（No.101）,
,89,決算書,PL,SH完了,追加,段階利益を自動計算する,,売上総利益 → 営業利益 → 経常利益 → 税引前当期純利益 → 当期純利益,手入力させず必ず計算で出す。 実物の予算書には手入力起因の計算エラーが残っている,当期純利益行は常時表示。法人税概算トグルのデフォルトをONにした。2026-08-30。
,90,決算書,製造原価報告書,HG確認完了,追加,材料費・労務費・製造経費の3区分で集計,,総製造費用 ＋期首仕掛品 −期末仕掛品 ＝ 当期製品製造原価。実績では外注加工費だけで売上の約50%,建設業の原価はほぼ外注。外注加工費を独立した集計軸にすると現場の感覚と合う,
,91,決算書,作成方法,HG確認完了,追加,ファイルを読み込み、Linq が決算書を作成する,,2026-07-31 変更。PDF・Excel・CSV をそのまま Linq（本プロダクトのAIの名称。実体は OpenAI API 接続）に読み込ませ、内容を理解させたうえで勘定科目と金額を展開する。OCRは導入しない。決まった書式でなくてよい,旧「AIと対話しながら作成」。No.92・No.94 をここに統合し、作成方法は本項目と No.93 の2択にした。勘定科目マスタ（No.87）が無いと自由記述の科目名が生まれる点は変わらない,
,92,決算書,作成方法,HG確認完了,削除,No.91 に統合（過去の決算書を読み込ませて展開）,,2026-07-31。Linq がファイルを直接解釈する方式に一本化したため、独立したタスクではなくなった,単独では起票しない,
,93,決算書,作成方法,HG確認完了,追加,1から作成,,空の表に直接書き込む。読み込ませるファイルが無いときの経路,2方式のうち単純な方。実装はこちらが先。Linq連携（No.91）を後から足すのが安全,
,94,決算書,取込,HG確認完了,削除,No.91 に統合（CSVインポート）,,2026-07-31。CSV も Linq に読み込ませる経路に含まれる,単独では起票しない,
,95,決算書,連携,HG確認完了,追加,決算書のデータをBIダッシュボードに反映,,決算書の数値がBI側の指標計算に使われる。要望の核心部分,⚠️ 工事台帳から積み上げた粗利と決算書の売上総利益は一致しない。 両方を載せると数字が2つ出るため、どちらを正とするかの表示ルールが要る。No.76関連,
,96,決算書,予算,HG確認完了,修正,予算書は別画面にせず、決算書画面に統合する,,2026-07-31 決定。No.88 の列に「当期予算」を持つため、予算と実績が同じ表に並ぶ。実物の予算説明資料もこの形になっている,以前は「別画面にすべき」としていたが、実物のExcelが予算と実績を1表に並べているため撤回した。ただし「案件積み上げ→部門別→全社」の予算の作り方そのものは別途要検討,
,97,決算書,税,HG確認完了,検討,法人税の概算計算を持たせるか,,所得への加算・減算から6種の税（法人税／地方法人税／法人事業税／特別法人事業税／法人市民税／法人県民税）を計算する。引当金の加算・認容が中心,税務は税理士の領域。持つとしても「概算」と明示し、申告用途では使わせない,
,98,決算書,原価配賦,HG確認完了,検討,人件費の製造原価／販管費の振り分け,,"予算書は費目ごとに「販管費／製造原価」の列を持ち、明細行単位で振り分けている。実績では労務費 約8,000万円が製造原価側に入っている",⚠️ この振り分け1つで粗利率が約7ポイント動く。 No.76 の前提,
,99,決算書,原価配賦,HG確認完了,検討,部門製造間接費の予定配賦,,部門の間接費（労務費・外注加工費以外）を売上比で案件に乗せる。予定配賦率＝部門製造間接費÷部門売上高。店舗別に算出する案（4〜8%）と全社合計で算出する案（約5%）が併記されている,フェーズ1では実装不要。ただし「なぜ現場の粗利と決算の粗利が違うのか」の答えがこれなので、説明できる状態にはしておく,
,101,決算書,列構成,HG確認完了,追加,実績列の見出しを会社ごとに設定できるようにする,,実績列の見出しは会計ソフト名になる。会社によって 弥生／freee／マネーフォワード／勘定奉行 などに変わるため、テナント設定で変更できるようにする,実物の予算説明資料では列見出しが「弥生」になっていた。ハードコードすると他社に出せない,
,102,決算書,作成方法,保留,検討,作成後に方式を変更できるか,,1から作った決算書に、後からファイルを読み込ませたときの挙動。上書き／追記／置換のどれかが未定,モーダルに「あとから変更できます」と書いたが、実装が大きく変わるので先に決める必要がある,
,103,決算書,導線,HG確認完了,検討,決算書画面への入口,,BIダッシュボード右上の「決算書」ボタン（No.79）から来る想定。既存の決算書がある場合に一覧を挟むか、直接この画面かが未定,年度が増えるほど一覧が必要になる。No.79 とセットで決める,
,104,決算書,期間,HG確認完了,追加,対象期間を選択式にし、期間ラベルを自動表示する,,期間を手入力させず、選んだ期間から画面のラベルを自動生成する。期首は 3月21日、期末は翌3月20日（エイトデザインの場合）,⚠️ 実物のExcelはヘッダの期間が1年ずれていた（令和7年度予算の表に令和6年度のヘッダが残っていた）。手入力だと必ず起きる,
,105,BIダッシュボード,予定配賦,SH2完了,検討,予定配賦を期中どう引くか決める,,現行は年額をそのまま期首に全額引いている。フッタに「売上総利益のマイナスは仕様です」と明記されており意図的だが、期中の営業利益率が実態より低く出る。案A＝月割り（4ヶ月経過なら年額×4/12）／案B＝年額一括のままKPIに注記,⚠️ 同じ画面に利益率が2つ並ぶ。上部KPIは年額一括で計算、着地予測は年間で計算するため、率が大きく食い違って見える。No.99関連,
,106,工事管理,工事管理,HG確認完了,検討,施工業者名→業者名に変更,,,,
