No	大分類	誰が	画面	開き方（メニュー／URL）	チェック内容（操作）	期待結果	種別	優先度	出典	結果（OK/NG/対象外）	メモ
70	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	業者を㈱／株式会社などゆれで打つ	候補が出る。未登録業者／予備費／経営調整費が選べる	入力が渡る	必須	シート1 58,66,71		
71	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	経営調整費（会社確保）と予備費（現場対応）の行	原価に入る。顧客向けPDFには出ない。予備費行は売価を入れられない。原価は入れられる	入力が渡る	必須	仕様＋シート1 61-65		
72	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	テキスト行（明細に紐づく／独立）	顧客向けPDFにも印字。計算・売価はゼロ	画面	必須	シート1 62,69		
73	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	コピー作成（版）	元見積をもとに新版ができる	一連の流れ	必須	仕様＋シート1 17		
74	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	他見積から項目を参照・D&D	行が追加される	画面	推奨	仕様		
75	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	顧客向けPDFと原価内訳PDF。工事の見積プレビューも見る	A4幅。予備費は顧客向けに出ない。原価内訳には出る	画面	必須	仕様＋シート1 46		
76	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	件名を詳細で変えようとする	変えられない（専用編集画面のみ）	現状どおりでOK	必須	仕様		
77	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	有効期限の入力欄	画面に無い。使っていない	現状どおりでOK	必須	仕様		
78	見積の現場	営業	見積	左メニュー リード › 見積管理 → /quotes。新規は /quotes/new	部門の規定粗利以上なら確定	確定できる。受注時の最新見積になる	一連の流れ	必須	仕様＋シート1 72		
79	見積の現場	営業→上長	見積	左メニュー リード › 見積管理 → /quotes。新規は /quotes/new	規定未満で申請→WFで差戻し→直して再申請→承認（条件付きも可）	同じワークフロー一覧に届く。承認後に確定できる	一連の流れ	必須	仕様＋シート1 72		
80	見積の現場	営業	工事／契約	生産 › 工事管理 の見積もりタブ、または 生産 › 契約管理 の見積もりタブ	工事または契約の見積タブから作り、/quotes で見る	顧客をまたいで一覧できる	入力が渡る	必須	シート1 20		
81	見積の現場	現場担当	発注	生産 › 工事管理 → 工事を開く › 発注書・請書 → /constructions/[id]	見積に入れた業者が発注先候補・台帳に繋がる	見積の業者が発注・納品・原価まで渡る	入力が渡る	必須	仕様＋シート1 70		
82	受注〜契約	営業	パイプライン	リード › 顧客・商談管理 のパイプライン切替 → /crm?view=pipeline	受注ステージへドロップ	契約が自動登録。見積または工事へ進めるダイアログ	一連の流れ	必須	仕様		
83	受注〜契約	営業	見積付き受注	受注後に 生産 › 契約管理 → 該当契約 → /contracts/[id]	契約を開き請負金額を目視	欄は税抜表示。見積合計（税込）が入ることがある。プレビューは×1.1するので二重に注意。運用判断する	入力が渡る	必須	仕様		公開前に必ず目視
84	受注〜契約	営業	契約	左メニュー 生産 › 契約管理 → /contracts	手動で新規契約（顧客・件名・金額・工期・見積）	一覧に出る。工事新規の初期値になる	一連の流れ	必須	仕様		
85	受注〜契約	営業	契約詳細	生産 › 契約管理 → 契約を開く → /contracts/[id]	7タブ（顧客／やり取り／書類／承認WF／電子契約／ファイル／見積）	揃う	画面	必須	仕様＋シート1 24-33		
86	受注〜契約	営業	契約 顧客	生産 › 契約管理 → 契約を開く › 顧客情報	電話・住所を直して保存。CRMと工事を開く	同じ1件が更新される。工事場所も顧客住所	入力が渡る	必須	仕様＋シート1 24		
87	受注〜契約	営業	やり取り	生産 › 契約管理 → 契約を開く › やり取り管理	タブ名がやり取り管理。口座・建物情報。Linqで文面生成	旧合意形成サポートではない。LINE/Slack連携・クイック返信は未実装	現状どおりでOK	必須	仕様＋シート1 25-28		
88	受注〜契約	営業	書類作成	生産 › 契約管理 → 契約を開く › 書類作成	工事請負を開く。同期を押す	甲＝顧客、名称・工期＝工事（工程表フォールバック可）、場所＝顧客住所、乙＝会社。『工事名称』ではない。空欄が埋まる	入力が渡る	必須	仕様＋シート1 127,128		
89	受注〜契約	営業	書類作成	生産 › 契約管理 → 契約を開く › 書類作成	開いた直後に下書き保存して乙住所を見る	空のことがある。開き直すかPDF／送信直前に埋まる。空のまま送らない	入力が渡る	必須	仕様		
90	受注〜契約	営業	書類作成	生産 › 契約管理 → 契約を開く › 書類作成	特記の固定はロック、都度だけ直す。約款はひな形時編集不可	テキスト編集を選んだときだけ約款を貼れる。遡りは着手日起算の固定文	画面	必須	シート1 123,124,126		
91	受注〜契約	営業	書類作成	生産 › 契約管理 → 契約を開く › 書類作成	支払条件	初期は着工時30%などの固定文。顧客口座からは来ない	現状どおりでOK	必須	仕様		
92	受注〜契約	営業	書類作成	生産 › 契約管理 → 契約を開く › 書類作成	テンプレを工事請負／設計監理／追加工事に切替。確定する	3種。内容が確定される	画面	必須	仕様		
93	受注〜契約	営業→上長	承認WF	生産 › 契約管理 → 契約を開く › 承認WF。承認操作は ポータル › ワークフロー /workflow	申請→差戻し→再申請→承認。電子契約タブを見る	未承認の間は電子契約がロック。承認後に開く。履歴が残る。WF一覧にも出る	一連の流れ	必須	仕様＋シート1 31		
94	受注〜契約	営業	電子契約	生産 › 契約管理 → 契約を開く › 電子契約	CloudSignで送信（キーあり）	顧客へ届く。文面は電子文書のみ（書面2通ではない）	一連の流れ	推奨	仕様＋シート1 32,125		
95	受注〜契約	営業	電子契約	生産 › 契約管理 → 契約を開く › 電子契約	キー無しで進める	PDF代替で出せる。送信できなくてよい	画面	必須	仕様		
96	受注〜契約	営業	PDFフォーム	契約 › 書類作成の「PDFフォーム」。テンプレは 設定 › 概要 › PDF編集 → /settings?tab=pdf_builder	自動項目（顧客名・住所・名称・番号・金額・工期・本日）	埋まる。乙の差し込み項目は無い。税込欄は税抜×1.1	入力が渡る	推奨	仕様		
97	受注〜契約	営業	契約 文書	生産 › 契約管理 → 契約を開く › ドキュメント一覧	契約ファイルを置く	顧客・工事の文書と別に見える	画面	必須	シート1 33		
98	現場の一日	現場担当	工事	左メニュー 生産 › 工事管理 → /constructions。新規は /constructions/new	契約から新規。顧客・受注額・工期・見積が引き継がれる。担当・部門・拠点を付ける	一覧に出る。部門・拠点はBI。着工・完工は月次請求の按分（工程タスクは見ない）	入力が渡る	必須	仕様		
99	現場の一日	現場担当	工事一覧	左メニュー 生産 › 工事管理 → /constructions	ステータス・担当で絞る	自分の現場だけ見られる	画面	必須	仕様		
100	現場の一日	現場担当	工事詳細	生産 › 工事管理 → 工事を開く → /constructions/[id]	8タブ。請求タブは出ない	顧客情報／工程表／見積もり／契約書／追加変更／工事台帳／発注書・請書／ドキュメント	画面	必須	仕様＋シート1 35		
101	現場の一日	現場担当	顧客情報タブ	生産 › 工事管理 → 工事を開く › 顧客情報	現場で聞いた電話を直す	CRMと同じ顧客が更新される	入力が渡る	必須	仕様		
102	現場の一日	現場担当	工程表	生産 › 工事管理 → 工事を開く › 工程表	着工〜完工の工程（名前・期間・依存・業者・担当）	ガント。日／週／月。工期は契約書のフォールバック	一連の流れ	必須	仕様		
103	現場の一日	現場担当	工程表	生産 › 工事管理 → 工事を開く › 工程表	バーをクリックして進捗・期間を直す。遅延／中断にする	保存される。一覧バッジが変わる（delayed / suspended）	一連の流れ	必須	仕様		
104	現場の一日	現場担当	日報	工事 › 工程表の「日報を追加」→ /constructions/[id]/reports/new	工程表から日報を2日分（天候・人数・作業・課題）	残る。工程の名前・日付はコピーされない	一連の流れ	必須	仕様		
105	現場の一日	現場担当	見積もりタブ	生産 › 工事管理 → 工事を開く › 見積もり	改訂版を作る	1工事に複数見積。/quotes にも出る	一連の流れ	必須	仕様		
106	現場の一日	現場担当	契約書タブ	生産 › 工事管理 → 工事を開く › 契約書	締結済みPDFをアップロード	工事から契約書を見られる	画面	必須	仕様		
107	現場の一日	現場担当	ドキュメント	生産 › 工事管理 → 工事を開く › ドキュメント。横断は ポータル › 文書管理 /documents	現場写真を上げ、/documents で同じ工事を絞る	工事タブと文書管理の両方で見える	入力が渡る	必須	仕様		
108	現場の一日	現場担当	名称	契約の書類作成・見積・工事台帳・発注書の見出し（各画面）	『工事名称』『施工業者名』が残っていない	『名称』『業者名』	画面	必須	シート1 106,128		
109	現場の一日	現場担当	工事	左メニュー 生産 › 工事管理 → /constructions。新規は /constructions/new	完工にしたあとダッシュボードの進行中工事	進行中から外れる（completed）	入力が渡る	必須	仕様		
110	設計変更	営業＋現場	見積	左メニュー リード › 見積管理 → /quotes。新規は /quotes/new	施工中に変更後見積を作る	版が分かれる	一連の流れ	必須	仕様		
111	設計変更	現場担当	追加変更	生産 › 工事管理 → 工事を開く › 追加変更	前後見積を選んで作成。差額を見る。承認／差戻し	差額自動。台帳の追加変更参照の元になる	一連の流れ	必須	仕様		
112	設計変更	現場担当	追加変更	生産 › 工事管理 → 工事を開く › 追加変更	CloudSignまたはPDF	キー無しはPDF代替	画面	推奨	仕様		
113	設計変更	現場担当	工事台帳	生産 › 工事管理 → 工事を開く › 工事台帳	追加変更参照→追加契約列→一括発注	追加込み金額で発注ドラフト	入力が渡る	必須	仕様		
114	台帳・発注	現場担当	工事台帳	生産 › 工事管理 → 工事を開く › 工事台帳	参照で見積を選ぶ。再参照する	業者・工種・実行予算が転記。再参照は置き換え確認	入力が渡る	必須	仕様		
115	台帳・発注	現場担当	工事台帳	生産 › 工事管理 → 工事を開く › 工事台帳	白いセルを編集して離れる。予算残をマイナスにする	自動保存。緑セルは計算。マイナスは赤字	画面	必須	仕様		
116	台帳・発注	現場担当	工事台帳	生産 › 工事管理 → 工事を開く › 工事台帳	勘定科目を人が入れる／空のまま	空行は自動で埋まらない。人が入れた科目だけ次回候補（AI提案は学習しない）	入力が渡る	必須	仕様＋シート1 116		
117	台帳・発注	現場担当	工事台帳	生産 › 工事管理 → 工事を開く › 工事台帳	コメントモード	セルにメモが残る	画面	推奨	仕様		
118	台帳・発注	現場担当	工事台帳	生産 › 工事管理 → 工事を開く › 工事台帳	単行の発注	発注書タブへ事前入力。金額は実行予算のみ（追加契約を含まない）	入力が渡る	必須	仕様		
119	台帳・発注	現場担当	発注書	生産 › 工事管理 → 工事を開く › 発注書・請書	職人マスタから業者を選び、支払3回で作成	スケジュールが3行。1/2/4/6/12／その他も選べる	一連の流れ	必須	仕様		
120	台帳・発注	現場担当	発注書	生産 › 工事管理 → 工事を開く › 発注書・請書	見積から取得	明細から発注が複数できることがある	画面	推奨	仕様		
121	台帳・発注	現場担当→上長	発注書	生産 › 工事管理 → 工事を開く › 発注書・請書	申請→承認	承認後に請書・CloudSignへ進める	一連の流れ	必須	シート1 108		
122	台帳・発注	現場担当	請書	生産 › 工事管理 → 工事を開く › 発注書・請書	受領前に社内で請書を開く	受領前は社内から請書を確認できない	画面	必須	シート1 108		
123	台帳・発注	業者	/partner/[token]	サイドバーに無い。発注後に業者へ届く発注書URL /partner/[token]	ログインせず発注書を見て受領	請書が自動。受領後は請書も見える。他案件は見えない	一連の流れ	必須	仕様＋シート1 43,108		
124	台帳・発注	現場担当	請書	生産 › 工事管理 → 工事を開く › 発注書・請書	紙の業者で請書を受領済みにする	受領日が付き、納品へ進める	一連の流れ	必須	シート1 108		
125	台帳・発注	現場担当	発注CloudSign	工事 › 発注書・請書 の CloudSign 送信	キーありで送る	送れる。発注書PDFのCloudSign添付は未実装	現状どおりでOK	推奨	シート1 108		
126	納品・検収	現場担当	/fulfillment	左メニュー 生産 › 納品・検収 → /fulfillment	開く。案件・業者・ステータス・紙発注のみで絞る。列ソート	ステータスカードがある。ボタンがステータスで変わる	画面	必須	シート1 117		
127	納品・検収	現場担当	/fulfillment	左メニュー 生産 › 納品・検収 → /fulfillment	請書未受領で納品	できない	画面	必須	仕様		
128	納品・検収	現場担当	納品	生産 › 納品・検収 → /fulfillment の該当行「納品を登録」	一括で納品日・内容・写真を登録	検収待ち。納品日＝帳票の取引日	一連の流れ	必須	仕様＋シート1 118		
129	納品・検収	現場担当	納品	生産 › 納品・検収 → /fulfillment の該当行「納品を登録」	分納で発注額未満を登録	残行ができる。残も同じように検収・請求する	一連の流れ	必須	仕様＋シート1 118,139		
130	納品・検収	現場担当	検収	生産 › 納品・検収 → /fulfillment の該当行「検収完了」	不合格／差戻し	発注済みに戻る。納品添付はクリア	一連の流れ	必須	仕様＋シート1 122		
