No,フロー名,Step,操作内容,確認ポイント,期待動作,優先度,確認結果,確認日,NG内容・備考
27,【1-3】商談の進捗管理,11,ToDoに追加後、バナー・ToDoフラグ・お知らせ一覧の3経路で通知が届くことを確認する,ToDo通知の3経路,ダッシュボードバナー・ToDoフラグ・お知らせ一覧それぞれに通知が表示される,中,NG,2026/07/10,期限「今日」のToDoを手動作成して検証。ToDoタブへの登録は正常だが、仕様が定める3経路（①ダッシュボードバナー・②ToDoリスト内フラグ・③お知らせ一覧）のいずれにも通知は届かなかった。「今日のフォーカス」ウィジェットにToDo件数は表示されるが、バナー通知とは別機能。ToDo期限通知・優先フラグ表示はいずれも未実装。
35,【1-4】見積作成,8,予備費①（売上の%で原価に積み増し）を設定する,予備費①設定,設定した割合が原価に反映される,中,NG,2026/07/07,"予備費①の%設定・原価反映の計算機能自体は正常動作（2%→3%変更で¥40,000→¥60,000に更新確認）。ただしUI上、入力欄の幅が狭く小数点以下の数値（例：2.5%）が視認できない表示上の問題あり。 スクリーンショット https://ibb.co/ymXmYmNF"
36,【1-4】見積作成,9,予備費②（行レベルの原価、配置可能フロアー）を設定する,予備費②設定,行レベルで原価に反映される,中,NG,2026/07/07,予備費②の%設定・原価反映の計算機能自体は動作（4%変更で金額更新確認）。ただし仕様の「行レベルの原価、配置可能フロアー」に対し、現状は見積全体への一律%設定のみ。行ごとの個別配置機能は未実装
38,【1-4】見積作成,11,粗利率が基準値（例：50%）以上の場合、見積を確定する,確定・出力機能,見積が確定し、PDFダウンロードまたは顧客送付ができる,高,未実装,2026/07/07,粗利率を50%以上に調整しても「確定する」ボタンが表示されない。粗利率50%未満時は「上司への承認申請」ボタンが表示されるが、50%以上にした際のボタン切替が未実装の可能性
42,【1-5】見積の上長承認,2,上長が通知から承認画面を開く,承認依頼の表示,見積内容・粗利率・差分が確認できる,高,NG,2026/07/07,ワークフロー一覧から承認画面を開き、見積番号・顧客名・金額・粗利率・申請コメントの値自体は正しく表示される。ただし申請情報のラベルがestimate_id・customer_name・gross_profit_rate・application_commentなど英語のまま表示されており、日本語化が未対応
43,【1-5】見積の上長承認,3,承認画面のチャットスレッドで質問する,スレッド機能,上長がスレッドで質問でき、営業が回答できる,中,NG,2026/07/07,コメント投稿・表示機能は双方向で動作確認済み（SH2テスト→管理者へのコメント「テストfromSH2」が正しく反映）。ただしコメント着信時の通知機能（通知ベル・見積一覧・社内チャット等）が未実装のため、新着コメントに気づけない
44,【1-5】見積の上長承認,4,営業がスレッドで回答する,スレッド返信,回答がスレッドに反映される,中,NG,2026/07/07,コメントの投稿・反映自体は正常に動作（時系列表示も正しい）。ただしNo.43と同様、コメント着信時の通知機能が未実装のため、営業側の回答に上長が気づけない
46,【1-5】見積の上長承認,6,上長が「条件付き承認」ボタンを押す（条件をコメントで指定）,条件付き承認処理,条件がコメントとして記録され、ステータスが条件付き承認に更新される,中,未実装,2026/07/07,承認画面のアクションボタンは「承認」「差戻し」「却下」の3種のみ。仕様で定義されている「条件付き承認」ボタンは未実装
48,【1-5】見積の上長承認,8,上長が「却下」ボタンを押す（理由をコメントで指定）,却下処理,却下理由が記録され、営業に通知される,中,NG,2026/07/07,SH2テストで却下操作を実施し、却下コメント「却下テスト」は記録された（7/7 16:17）。しかし承認側では「却下」と表示されるのに対し、申請側では「差戻し」と表示される。却下と差戻しのステータスが正しく区別されていない
51,【1-5】見積の上長承認,11,承認の場合、営業が見積を確定し顧客に提示する,確定・提示,見積が確定し、顧客への提示が可能になる,高,NG,2026/07/07,承認後に見積ステータスが自動で「確定」に更新される仕様だが、自動更新は未実装。見積一覧画面のステータスバッジをクリックするとドロップダウン（下書き／発行済み／送付済み／受理／却下）で手動変更が可能。なお仕様書の「確定」に該当するステータス名は「発行済み」と思われるが、用語の対応も要確認。
52,【1-5】見積の上長承認,12,条件付き承認の場合、営業が条件を確認・対応し顧客提示する,条件対応,条件を確認した上で顧客提示できる,中,検証不可,2026/07/07,No.46で「条件付き承認」ボタン自体が未実装のため、本項目（条件付き承認後の営業側対応）も検証不可。条件付き承認が実装された段階で再検証が必要。
53,【1-5】見積の上長承認,13,差戻しの場合、営業が修正内容を確認し見積を修正する（1-4 Step8へ戻る）,差戻し対応,指摘内容を確認し、見積の再修正ができる,中,NG,2026/07/08,差戻し後の再申請ができない。差戻し通知は営業側に届くが、見積画面に戻っても再度「承認申請」ボタンが表示されず、修正→再申請のフローが完結しない。
64,【1-6】受注確定〜工事/契約への引き継ぎ,10,提案された工期を確認し、必要に応じて調整する,工期調整,工期を編集できる,低,OK,2026/07/28,再検証。前回（2026/07/09）はAI推定工期バナー表示も入力欄が空欄でNGだったが、現状は着工日・竣工日が契約情報から自動転記される（緑バナー表示）。手動調整も可能。AI推定工期バナー（青）は契約工期転記時は表示されず、受注確定時に契約へ保存された工期が転記される仕様変更の可能性あり。工期編集要件は満たす。
65,【1-6】受注確定〜工事/契約への引き継ぎ,11,現場担当者が推薦されることを確認する（実績・業務負荷・地理的近さ等から最適度スコア付き）,AI現場担当者推薦,最適度スコア付きで候補者が表示される,中,NG,2026/07/09,担当者欄に「管理者」が自動入力されているが、仕様が求めるスコア付き候補リストの表示はなく、単純な自動入力のみ。
66,【1-6】受注確定〜工事/契約への引き継ぎ,12,AIの推薦をそのまま採用、または手動で別の担当者を選択する,担当者確定機能,推薦採用または手動選択のどちらでも担当者が確定できる,中,NG,2026/07/09,担当者欄のドロップダウンで複数候補（未設定・SH2テスト・SH2テスト2・佐藤担当・山田・田中スタッフ・管理者）からの手動選択が可能なことを確認。ただし仕様が求めるAI推薦スコア付きの候補表示はなく、No.66のAI推薦機能が未実装のため「推薦採用」の動作は確認不可。手動選択のみOK。
67,【1-6】受注確定〜工事/契約への引き継ぎ,13,内容を最終確認し「工事登録」ボタンを押す,入力チェック,必須項目チェックが実行される,高,NG,2026/07/09,受注確定フロー経由の新規工事登録フォームにて、仕様書が定義する「工事登録」ボタンが「保存」と表示されている。ボタン名が仕様と異なる。
72,【1-6】受注確定〜工事/契約への引き継ぎ,18,アサインされた現場担当者に通知が届くことを確認する（バナー・お知らせ・ToDoフラグ）,通知機能,現場担当者に3種類の通知が届く,中,NG,2026/07/09,"CST-0005（テスト契約_QA0708）登録後、担当者（管理者）への通知が届かなかった。バナー・お知らせ・ToDoフラグいずれも未着信。通知一覧に過去通知が蓄積しており既読・削除機能が機能していない可能性あるが、工事アサイン通知自体が未実装の可能性が高い。
※通知パネルに過去通知が蓄積し続けており、既読化・削除・クリア操作ができない。通知が10件以上残存したまま新着通知との区別が困難な状態。"
75,【1-7】契約書の作成〜電子署名,3,契約書テンプレートを選択する（新築工事請負契約書等、管理者が事前登録したもの）,テンプレート選択機能,テンプレート一覧から選択できる,高,NG,2026/07/09,甲（発注者）情報・工事名・金額・工期・工事場所はCRMからマッピング反映を確認。乙（請負者）住所は設定＞会社情報に登録済みだが書類作成画面に自動反映されずNG。支払条件も未入力。
76,【1-7】契約書の作成〜電子署名,4,マッピング設定に従い、商談ナレッジ・顧客情報・口座情報等が自動入力されることを確認する,自動入力機能,必要項目が自動入力される,高,未実装,2026/07/09,契約書テンプレート選択UIが存在しない。工事請負契約書が固定表示のみ。複数テンプレートからの選択機能が未実装。
77,【1-7】契約書の作成〜電子署名,5,PDFプレビューがリアルタイムで表示されることを確認する,PDFプレビュー,入力内容に応じてPDFがリアルタイム表示される,高,NG,2026/07/09,テンプレート選択機能は実装済み（3種類：工事請負契約書・設計監理契約書・追加工事契約書）。ただしUIがアイコンのみで視認性が低く、テンプレート選択セクションとして機能していない。改善要。
79,【1-7】契約書の作成〜電子署名,7,編集確定後、「社内承認を取りますか？」の問いかけが表示されることを確認する,承認フロー分岐表示,問いかけダイアログが表示される,中,NG,2026/07/09,「確定する」ボタン押下時に「確定・保存に失敗しました」エラーが発生（住所入力有無に関わらず再現）。承認フロー分岐ダイアログ未表示。原因不明のサーバーエラーの可能性あり。
80,【1-7】契約書の作成〜電子署名,8,「後で対応する」を選択し、契約管理画面に戻る,後回し機能,書類は自動保存されており、一覧から再開できる,低,NG,2026/07/09,「後で対応する」ボタンは未実装だが、一覧に戻り再度開いた際に入力内容が保持されることを確認。自動保存機能はOK。「後で対応する」ボタン自体はNo.80のエラーに起因して表示されない。
85,【1-7】契約書の作成〜電子署名,13,複数承認者がいる場合、次の承認者へ順番に回ることを確認する,多段階承認,承認者ごとに順次通知・確認・承認が行われる,中,未確認,2026/07/09,契約書承認ワークフローの承認者設定画面が見当たらず、多段階（2名以上）の承認フローを構成する方法が不明。設定＞組織＞ワークフローはポータル申請用であり契約書承認とは別系統。承認者が1名のみの環境では多段階動作の検証不可。承認者設定方法を確認後、再検証予定。
86,【1-7】契約書の作成〜電子署名,14,承認フローが総務に回った場合、総務が承認画面で必要事項を追記する,総務ロール権限,総務のみ追記が可能で、追記後に承認できる,低,検証不可,2026/07/09,承認WFに総務承認者を追加する設定方法が不明（No.86と同じ問題）なので、フローを総務に回すこと自体ができない。
87,【1-7】契約書の作成〜電子署名,15,承認者が「差戻し」ボタンを押す（修正内容をコメントで指定）,差戻し処理,営業に差戻し通知が届き、書類作成タブ（Step6）に戻れる,中,NG,2026/07/09,差戻しコメント「テスト差戻し」の記録は確認。しかし差戻し後もステータスが「申請中」のままローディングが継続し、差戻し状態に更新されない。営業への差戻し通知も未着。書類作成タブへの戻りも確認不可。スクリーンショット https://ibb.co/vCSby3x6
88,【1-7】契約書の作成〜電子署名,16,全承認完了後、電子契約タブが活性化することを確認する,電子契約タブ活性化,タブが操作可能になり、営業に通知が届く,高,NG,2026/07/09,CON-0006（テスト契約_QA0709#2）で承認完了後、SH2テスト2（営業）への通知が未着。電子契約タブの活性化はCON-0004で確認済みだが、承認完了時の営業への通知機能が未実装。
90,【1-7】契約書の作成〜電子署名,18,送信メッセージの生成方法（テンプレ／Linq自動生成／手動入力）を選択する,メッセージ生成機能,いずれの方法でもメッセージが作成できる,中,未実装,2026/07/09,"メッセージ生成方法の選択肢（テンプレ／Linq自動生成／手動入力）が未実装。固定テキストのみ表示。
"
91,【1-7】契約書の作成〜電子署名,19,「電子契約を送信」ボタンを押す,CloudSign連携送信,CloudSign APIに連携され送信される,高,未確認,2026/07/09,CloudSign APIキー未設定のためスタブ送信。実際のCloudSign連携動作は未確認。設定＞連携からAPIキー登録後に本番確認が必要。
92,【1-7】契約書の作成〜電子署名,20,顧客がCloudSignでメールを受信し、内容確認・電子署名する,顧客側署名（外部確認）,顧客側でCloudSign上の署名が完了する,高,検証不可,2026/07/09,No.92のスタブ送信のため顧客へのメール未送信。CloudSign上での署名操作は未確認。APIキー登録後に再検証が必要。
93,【1-7】契約書の作成〜電子署名,21,署名完了がBRIDGE Linqに通知（webhook）され、契約ステータスが「締結済」に自動更新されることを確認する,ステータス自動更新,契約ステータスが締結済に更新される,高,検証不可,2026/07/09,"No.92のスタブ送信のためCloudSignからのwebhook通知が発生せず、契約ステータスの自動更新は未確認。APIキー登録後に再検証が必要。
"
94,【1-7】契約書の作成〜電子署名,22,営業に署名完了通知が届くことを確認する,通知機能,バナー・お知らせ・ToDoフラグで通知される,中,検証不可,2026/07/09,No.92のスタブ送信のため署名完了通知の発生なし。営業（SH2テスト2）への通知は未確認。APIキー登録後に再検証が必要。
95,【1-7】契約書の作成〜電子署名,23,契約後の情報入力セクション（支払い口座情報など）が表示されることを確認する,契約後情報セクション表示,入力セクションが表示される,中,検証不可,2026/07/09,CloudSign APIキー未設定によりスタブ送信となり、署名完了webhookが発生しなかったため表示トリガーに到達できず確認不可。仕様ではStep29「CloudSign署名完了後に契約後情報入力セクションが表示される」と定義。APIキー設定・本番送信後に再検証が必要。
96,【1-7】契約書の作成〜電子署名,24,営業/総務が契約後情報を入力する,契約後情報入力,入力内容がリアルタイム自動保存される,低,検証不可,2026/07/09,CloudSign APIキー未設定によりスタブ送信となり、署名完了webhookが発生しなかったため表示トリガーに到達できず確認不可。仕様ではStep29「CloudSign署名完了後に契約後情報入力セクションが表示される」と定義。APIキー設定・本番送信後に再検証が必要。
