No,フロー名,Step,操作内容,確認ポイント,期待動作,優先度,確認結果,確認日,NG内容・備考,列 11
16,【2-4】工事台帳での原価管理,1,工事詳細「工事台帳」タブを開く,工事台帳の表示,原価管理表（実行予算・発注・月次請求・粗利）が表示される,高,OK,2026/07/10,"参照ボタン→EST-0010選択で工事台帳が自動生成され、工種・実行予算は転記された。
ただし契約金額¥200,000・工事粗利額-2,000,000・粗利率-1000.0%と数値に異常があり、KPI表示の正確性は要確認。",
17,【2-4】工事台帳での原価管理,2,施工業者名・工種・管理用予算・実行予算を入力する,数値入力,白いセルをクリックして入力できる,高,OK,2026/07/10,,
18,【2-4】工事台帳での原価管理,3,実行予算合計・確定額・予算残・粗利率が自動計算されることを確認する,自動計算（緑セル）,リアルタイムで合計・残額・粗利率が更新される,高,OK,2026/07/10,,
19,【2-4】工事台帳での原価管理,4,予算残がマイナスになった際に赤字アラートが表示されることを確認する,赤字アラート,予算残マイナス・請求残が赤色で表示される,中,OK,2026/07/10,,
20,【2-4】工事台帳での原価管理,5,「保存する」ボタンを押し、リロード後もデータが保持されることを確認する,永続化,construction_cost_budgetsテーブルに保存される,高,OK,2026/07/10,"「保存する」ボタンは存在せず、画面右上に「自動保存済み」と表示される自動保存方式。
リロード後もデータが保持されており、永続化は正常に動作している。",
21,【2-5】業者へ発注,1,工事台帳の「発注」ボタンから発注書作成を開始する,発注書作成画面の表示,発注書・請書タブに切替し業者情報が自動入力される,高,OK,2026/07/10,"発注ボタンから発注書・請書タブへ自動切替され、工期・工事内容・金額は自動入力された。
ただし発注先業者が「指定なし」のまま自動入力されず、見積明細も業者名フィルタにより「明細項目がありません」となっている。工事台帳の施工業者名がマスタ業者と紐付いていない
ことが原因と推測される。",
22,【2-5】業者へ発注,2,発注日・支払予定日・支払回数を入力する,入力項目,各項目が正しく入力できる,高,OK,2026/07/10,,
23,【2-5】業者へ発注,3,支払回数「複数回」の場合、区分ごとに割合を設定し合計100%チェックを確認する,支払分割設定,合計100%バリデーションが動作し、各区分の金額が自動計算される,中,OK,2026/07/10,,
24,【2-5】業者へ発注,4,「申請する」ボタンを押し、管理者に承認依頼通知が届くことを確認する,承認申請・通知,ステータスが「申請済」になり管理者に通知される,高,未実装,2026/07/10,"発注書作成後、一覧画面にステータス「下書き」ドロップダウンは表示されるが「申請する」ボタンが存在しない。発注書行のクリックによる詳細画面への遷移も不可。
管理者・営業ロール両方で確認済み。承認フロー起票機能が未実装と思われる。",
25,【2-5】業者へ発注,5,管理者が承認し、CloudSign送信ボタンが有効化されることを確認する,承認後のCloudSign送信,ステータスが「承認済」になりCloudSign送信が可能になる,高,検証不可,2026/07/10,No.25で承認申請フローが未実装のため、承認後のCloudSign送信ボタン有効化は確認不可。,
26,【2-5】業者へ発注,6,CloudSign送信後、業者が電子署名し請書受領済になることを確認する,署名完了・請書自動生成,webhook経由でステータスが「請書受領済」に更新され、発注書・請書PDFがドキュメントタブに保存される,高,検証不可,2026/07/10,No.25・26で承認フロー・CloudSign連携が未実装のため、署名完了・請書自動生成・ステータス更新は確認不可。,
27,【2-5】業者へ発注,7,一括発注機能（複数業者を同時発注）の動作を確認する,一括発注,選択業者ごとにドラフトが一括生成され、一括申請・一括送信ができる,中,NG,2026/07/10,"発注書・請書タブに「見積もりから一括作成」ボタンが存在し、クリックで発注書が自動生成・一覧追加された。
ただし仕様の「工事台帳で複数業者をチェックボックスで選択→一括発注」のUIは存在せず、
一括申請・一括CloudSign送信も未確認。
仕様通りの業者選択型一括発注フローは未実装と思われる。",
28,【2-5】業者へ発注,8,発注書・請書タブから「＋発注書を作成」ボタンで新規作成を開始する（工事台帳経由以外のルート）,発注書タブからの直接作成,発注先業者・工期を手動入力して発注書が作成できる,低,OK,2026/07/10,,
