,108,発注書/請書,請書,SH完了,修正,受書の確認方法,,発注書と請書を確認できるようにする,こちらについて次回詳しく教えていただきたいです。,社内は請書を受領後のみ確認可。業者URLは受領前に発注書・受領後に請書。CloudSign署名完了で受領日を記録。紙は「請書を受領済みにする」。発注書PDFのCloudSign添付は未実装。2026-08-30。
,119,納品・検収,検収,SH完了,追加,担当者が「検収完了」すると、業者のメールアドレス宛に「請求書を送るURL」を自動送信する,,合格／差し戻しを選ぶ。合格で検収完了（請求待ち）になり、業者マスタのメール宛にワンタイムURL（ログイン不要）を送る。有効期限は30日で仮置き。一覧から再送も可,Figma 08 画面2（検収カード・業者への連絡）。URLの有効期限・差し戻し時のステータスは未決,合格／差戻し、URL送信（30日）、再送を実装。紙発注はURLを送らず紙／PDF送付の案内メール（メールがあれば）。2026-08-30。
,120,納品・検収,業者向けページ,SH完了,追加,業者向けの請求書送信ページ（外部URL・ログイン不要）を新設する,,当社フォーマットの請求書が発注書・納品記録・業者マスタから自動入力された状態で表示。業者は請求日・請求番号・登録番号を入力し、任意で自社書式PDFを添付して「請求書を送る」を押す,Figma 08 画面3。業者が自社書式の請求書しか出さない場合の扱いは未決,/partner/invoice/[token]。請求日・登録番号（T+13桁）はサーバー必須。OTP未確認では金額・口座を返さない。業者住所はマスタに列がなく空。2026-08-30。
,121,納品・検収,請求書受領〜承認,SH完了,追加,業者が送信すると一覧に「請求書受領」として表示し、ディレクター確認→経理承認で帳票データへ流す,,ディレクターが内容確認・チェックで「確認済み」、経理が承認で「承認済み」。承認済みだけが帳票データ作成（No.115）の対象になる,No.115（承認連携）と対,請求書受領→ディレクター確認→経理承認の順をサーバーでも強制。承認済みだけ帳票。2026-08-30。
,122,納品・検収,全体,SH完了,検討,納品・検収フローの未決事項を決める,,2026-08-27 定例で決着。①URL有効期限は30日仮置き・再送可 ②自社書式・紙発注は検収完了一覧のPDF添付で請求書受領へ（紙の自動取込はフェーズ1対象外） ③差し戻しは発注済みへ戻す ④分納は納品ごとに検収・請求 ⑤経理承認は権限「納品・検収の経理承認」 ⑥業者ログインなし・メール確認コード。紙運用の詳細図と分納の最終確認は先方／社内で継続。,Figma 08 テキスト説明パネル「決めること」に同じ内容,8/27決定6点を実装。紙発注の5ステップと分納（納品ごとに検収・請求）を画面に明記。2026-08-30。
,123,契約管理画面,書類作成タブ,SH完了,追加,特記事項を契約書の種類ごとに設定できるようにする（固定部分と都度変わる部分を分ける）,,特記事項には固定のものと案件ごとに変わるものがある。契約書テンプレート（No.30）ごとに特記事項の既定文を持ち、作成時に都度部分だけ編集できる形にする,2026-08-19 社内会議。遡り条文（No.124）が代表例,特記（固定）はテンプレート既定でロック。作成時は都度部分だけ編集。2026-08-30。
,124,契約管理画面,書類作成タブ,SH完了,検討,遡り条文を「工期の着手日から効力を成す」等の汎用表現に置き換えられるか検討する,,遡り条文＝契約日より前の日付から効力を発生させる文面。都度書くのではなく汎用表現に置き換えられれば固定文にできる。置き換えられない場合は No.123 の都度部分で扱う,2026-08-19 社内会議。法務・顧客側が受け入れる文面かの確認が要る,汎用表現を請負契約の固定特記として採用しロック。法務の受け入れ確認は先方。2026-08-30。
,125,契約管理画面,電子契約タブ,SH完了,修正,クラウドサインで送る契約書は文面を「電子文書のみ」に変更する,,現状の文面は「書面を2通作成し…」。電子契約（No.32）で送る場合は、テンプレート側で電子文書用の文面（電子文書を作成し双方が保管する旨）に切り替わるようにする,2026-08-19 社内会議。No.32（クラウドサイン連携）とセット,CloudSign送信時は電子文書文面を強制し契約書HTMLを添付。書面2通の文言は使わない。2026-08-30。
,126,契約管理画面,書類作成タブ,SH完了,検討,約款の持ち方を決める（PDFのひな形に含める／テキストエリアに直接貼る）,,約款はPDFのひな形に含める方法と、テキストエリアに直接ペーストする方法のどちらも可能。テンプレート管理（No.30）でどちらにするか、契約書の種類ごとに変えられるかを決める,2026-08-19 社内会議。改訂頻度が高いならテキストエリアの方が直しやすい,種類ごとに標準約款（ひな形）を持つ。ひな形時は編集不可。テキスト編集を選んだときだけ貼り付け可。2026-08-30。
,127,契約管理画面,書類作成タブ,SH完了,修正,工期・名称などを顧客情報・案件情報から自動入力し、確認なしで出力できるようにする,,契約書の差し込み項目（工期・名称・顧客名・金額など）は顧客情報・工事管理から自動転記し、担当者が入力し直さずにPDF出力できる形を目指す,No.30（テンプレートの自動転記）の範囲を工期・名称まで広げる,顧客名・工期・名称・金額を案件・見積・工程から自動転記。PDF出力前にも空欄を埋める。2026-08-30。
,128,全画面共通,名称,SH完了,修正,「工事名称」を「名称」に変更する,,グラフィック等、工事以外の案件も扱うため。契約書テンプレート・見積・工事台帳・発注書など「工事名称」と表示している箇所を「名称」に統一する,2026-08-19 社内会議で決定。対象箇所の洗い出しが要る。No.106（施工業者名→業者名）と同じ趣旨の名称統一,アプリUIの「工事名称」は「名称」に統一済み。2026-08-30 確認。
,129,納品・検収,業者認証,SH完了,決定,検収データの認証方式はメール認証とする（業者向けログインは設けない）,,業者ページはログイン画面を出さない。登録メールへ確認コードを送り、入力後にだけ請求書を送信できる。,2026-08-27 定例 決定1,/partner/invoice/[token] で確認コード実装済み。2026-08-30 確認。
,130,納品・検収,紙発注・自社書式,SH完了,追加,検収完了一覧にPDF添付ボタンを置き、添付を合図に「請求書受領」へ自動移動する。紙発注分は色分けする,,アンドパッド非利用（紙発注・自社書式）の業者は、総務が受領したPDF（紙はスキャン）を添付する。金額一致の確認欄あり。添付金額が帳票へ載る。,2026-08-27 定例 決定2,attachStaffInvoicePdf・紙発注バッジ・「紙発注のみ」絞込を実装。職人マスタに受領方法を追加。2026-08-30 確認。
,131,納品・検収,紙発注,HG確認完了,削除,紙の自動取込（スキャンAI読取）はフェーズ1の対象外とする,,需要を見て次フェーズで検討。フォルダ投入→AIマッチングの構想は共有済みだが今は入れない。,2026-08-27 定例 決定3,フェーズ1では実装しない方針を確認。2026-08-30。
,132,納品・検収,紙発注,保留,検討,紙運用フローの詳細は先方が言語化・図式化して共有したあと、その内容を基に実装する,,三瀬氏が中島氏へヒアリングし整理。総務が付けるのか、金額ずれの扱いなど、共有後に変わる可能性がある。,2026-08-27 定例 決定4／AI 1（先方・次回定例まで）,骨格（PDF添付・色分け）は先に入れてある。詳細図の共有待ち。
,133,帳票データ作成,全銀,SH完了,修正,先方サンプル（アンドパッド出力テキスト・FB用Excel）と同形式の全銀テキストを出力する,,120バイト・SJIS。依頼人コード・銀行コードが入る。不明点はLINEで質問する前提。,2026-08-27 定例 議題②／AI 7,buildZenginText／encodeZenginSjis を実装。先方サンプルとの最終照合は継続。2026-08-30。
,134,帳票データ作成,勘定科目,SH完了,追加,「勘定科目の確定」画面を新設する,,内容は変更の可能性があるため、確定後に先方より連絡。画面単位での変更はない見込み。,2026-08-27 進捗報告／AI 2（先方・決定次第）,/account-items を実装済み。科目マスタの中身は先方連絡待ち。2026-08-30。
,135,帳票データ作成,金額連携,SH完了,追加,添付した請求書PDFの入力金額を帳票データ（全銀・CSV）へそのまま反映する,,金額が一致するか見て、その数字がFBへ載る想定。差がある場合は確認チェック後に添付金額を採用。,2026-08-27 定例 4-2,vendor_invoice_amount を帳票の請求額に使用。2026-08-30 確認。
,136,全般,スコープ,HG確認完了,決定,フェーズ1での新機能追加はなし。現行スコープを完成させ、10月1日の利用開始を目標とする,,スプレッドシート128行目まで＋追加分。修正・変更要望は引き続きスプレッドシートへ追記する運用。,2026-08-27 定例 決定5,8/27合意範囲以外のメニュー追加はしていない。2026-08-30。
,137,全般,検証,SH完了,追加,全体フローの検証シートを作成し、9月第1〜2週に共有する,,納品・検収〜帳票の決定事項確認と操作手順を記載。,2026-08-27 定例 AI 8,docs/fulfillment-flow-checklist.md を作成。実施結果の記入は9月第1〜2週。2026-08-30。
,138,ダッシュボード,トップ画面,保留,検討,ログイン後トップ画面のUI案は先方が作成・共有する,,開発着手後の手戻り防止のため、中島氏にも要件リストを事前確認いただく。,2026-08-27 その他／AI 3（先方）,先方案待ち。実装しない。
,139,納品・検収,分納,保留,検討,分納時の検収単位・データの持ち方を確定する,,先方の整理資料に記載見込み。社内では納品ごとに行を分けて検収・請求する実装で検証継続。,2026-08-27 社内メモ,分納登録で残行が分かれる実装はある。最終確認は先方資料待ち。
