,,,,,,,,,
,No.,画面カテゴリ,セクション／タブ,ステータス,区分,タスク内容,該当箇所画像URL,詳細・補足,
,28,契約管理画面,やり取り管理タブ,未着手,追加,契約後の情報入力セクション,,お客様の支払い口座情報や建物関連情報（法規上必要なもの）を一覧で確認可能に,　
,29,契約管理画面,書類作成タブ,未着手,修正,旧「契約書ドラフト作成」タブ,,タブ名は「書類作成」に変更,　
,30,契約管理画面,書類作成タブ,未着手,追加,契約書テンプレート機能,,テンプレートを管理者のみ閲覧可能な画面で設定→ユーザーはテンプレート選択するだけで、顧客情報に登録済の情報が自動転記された契約書をPDFプレビュー表示＋ダウンロード＋送付,　
,31,契約管理画面,承認ワークフロータブ,未着手,追加,最新契約書を詳細画面のまま申請可能,,ポータルのワークフローと連携。履歴も確認可能,　
,32,契約管理画面,電子契約タブ,未着手,追加,クラウドサイン連携での電子契約送信,,ワークフロー通過後、クラウドサインを利用してお客様に契約書を送信。件名とメッセージを記入してメールアドレス宛に送信可能,　
,33,契約管理画面,ドキュメント一覧タブ,未着手,追加,契約関連ドキュメントの格納タブ,,顧客・商談詳細のドキュメント、工事管理のドキュメントと連携,　
,34,全画面共通,AIチャット,未着手,追加,AIチャット（BLIDGE AI）の導入,,画面右下にアイコンのインタラクティブボタンを配置→クリックで画面左スライドインでチャット画面表示。開いている画面に応じて挨拶が変化（例：工程表→「工程表についてお手伝いできますか？」／見積もり画面→「見積もりについてお手伝いできますか？」）,　
,35,メニュー,削除メニュー,未着手,削除,請求管理・予算管理メニューの削除,,※元々の追加目的を再確認したい（コメントあり）,　
,36,メニュー,追加メニュー,未着手,追加,管理者設定メニューの追加,,管理者設定の詳細でPDFビルダー／アカウント管理／権限・ロール管理ができるように。※追加で設定すべき内容があれば要ヒアリング,　
,37,ロール定義,デフォルトロール,未着手,追加,管理者（Admin）,,システム全体の設定・管理を行う最高権限ロール。ロール作成・編集、ユーザー管理、システム設定、AI自動アサイン設定などを担当,　
,38,ロール定義,デフォルトロール,未着手,追加,経営層（Executive）,,経営判断に必要な情報を参照・分析する経営者・役員向け。BIダッシュボード活用、稟議承認などを担当,　
,39,ロール定義,デフォルトロール,未着手,追加,営業（Sales）,,顧客対応・商談・見積作成を担当。リード対応、商談管理、AI議事録活用などを担当,　
,40,ロール定義,デフォルトロール,未着手,追加,現場担当（Field Manager）,,工事の進行管理・協力業者との調整を行う現場責任者向け。工事進捗管理、発注・請書管理、現場報告などを担当,　
,41,ロール定義,デフォルトロール,未着手,追加,設計士（Designer）,,設計図面の作成・管理を担当。図面管理、設計関連書類管理などを担当,　
,42,ロール定義,デフォルトロール,未着手,追加,総務（Administration）,,勤怠管理・ワークフロー・会計データ処理を担当。勤怠管理、稟議対応、会計データエクスポート、文書管理などを担当,　
,43,ロール定義,特殊ロール,未着手,追加,外部協力業者（External Partner）,,システムにログインせずURL経由で限定的にアクセス。発注書URLを受信→画面で確認→受領操作で請書を自動送信、PDFダウンロードも可能。ログイン不要、特定案件情報のみアクセス可能,　
,44,ロール定義,拡張,未着手,追加,自由追加ロール,,会社に応じてロールを新規作成。閲覧権限なども自由に変更可能にしておく,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
,,,,,,,,,　
