No	画面区分	区分	メニュー経路	画面/操作	チェック項目	期待動作（Notion要件/仕様）	実装状況(参考_2026-06)	確認結果(OK/NG/未)	確認者	確認日	備考
14	ユーザー画面	1-2 問い合わせ〜商談化	顧客詳細 > スケジュール	/crm/[id]	全候補埋まり→営業に通知	通知→手動調整	部分実装	OK	core-uat-e2e	2026-06-03	ToDo+お知らせ通知
15	ユーザー画面	1-2 問い合わせ〜商談化	顧客詳細 > 録音タブ	/crm/[id]?tab=recording	商談録音	商談中の録音保存	実装済	OK	core-uat-e2e	2026-06-03	
16	ユーザー画面	1-2 問い合わせ〜商談化	顧客詳細 > 録音タブ	/crm/[id]?tab=recording	文字起こし・要約	Linqがtranscript/summary生成	部分実装	保留(AI)	core-uat-e2e	2026-06-03	Web Speech+ヒューリスティック/LLM
17	ユーザー画面	1-3 商談進捗管理	顧客詳細 > 録音タブ	/crm/[id]	要約→ToDo/顧客情報自動更新	Linq解析→DB更新	実装済	OK	core-uat-e2e	2026-06-03	phone/email/address/予算を自動反映
18	ユーザー画面	1-3 商談進捗管理	顧客詳細(バナー)	/crm/[id]	ステージ遷移をAI提案	最適ステージ判断→通知(人レビュー必須)	実装済	OK	core-uat-e2e	2026-06-03	
19	ユーザー画面	1-3 商談進捗管理	顧客詳細(バナー)	/crm/[id]	ステージ提案を承認/却下	承認→stage更新/却下→手動	実装済	OK	core-uat-e2e	2026-06-03	
20	ユーザー画面	1-3 商談進捗管理	顧客詳細 > 商談タブ	/crm/[id]	商談タイムライン表示	タイトル・要約・タグ・ステータス・日付	実装済	OK	core-uat-e2e	2026-06-03	
21	ユーザー画面	1-3 商談進捗管理	顧客詳細 > 商談タブ	/crm/[id]	商談メモ手入力→ToDo化	選択→フローティングTB→ToDo追加	実装済	OK	core-uat-e2e	2026-06-03	
22	ユーザー画面	1-3 商談進捗管理	録音保存後	/crm/[id]	次回商談をAIカレンダー連携	calendar_eventsに予定登録	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	Google同期は要OAuth
23	ユーザー画面	1-3 商談進捗管理	通知ベル/ToDo/バナー	/dashboard /todos	3経路通知	ToDo/お知らせ/バナー	実装済	OK	core-uat-e2e	2026-06-03	
24	ユーザー画面	1-4 見積作成	サイドバー > リード > 見積管理	/quotes/new	新規見積作成(下書き)	顧客詳細 or 見積一覧から作成	実装済	OK	core-uat-e2e	2026-06-03	
25	ユーザー画面	1-4 見積作成	見積詳細 > AIパネル	/quotes/new	AIで作成(Linqチャット25%幅)	商談ナレッジ解析→ドラフト生成	部分実装	保留(AI)	core-uat-e2e	2026-06-03	AIプロバイダーは後で選定
26	ユーザー画面	1-4 見積作成	見積詳細	/quotes/[id]	手動で大項目・詳細項目入力	数量・単位・原価・見積金額	実装済	OK	core-uat-e2e	2026-06-03	
27	ユーザー画面	1-4 見積作成	見積詳細	/quotes/[id]	見積参照(D&D)/コピー	他見積から項目追加・丸ごとコピー	実装済	OK	core-uat-e2e	2026-06-03	参照パネル+D&D
28	ユーザー画面	1-4 見積作成	見積詳細	/quotes/[id]	売上・原価・粗利・粗利率リアルタイム計算	入力に応じ即時再計算	実装済	OK	core-uat-e2e	2026-06-03	
29	ユーザー画面	1-4 見積作成	見積詳細	/quotes/[id]	予備費設定(予備費1/2)	予備費込み原価計算	実装済	OK	core-uat-e2e	2026-06-03	率をUIから編集可
30	ユーザー画面	1-4 見積作成	見積詳細 > PDF	/quotes/[id]	PDFプレビュー	見積PDF表示	実装済	OK	core-uat-e2e	2026-06-03	
31	ユーザー画面	1-4 見積作成	見積詳細	/quotes/[id]	粗利未達→警告+承認申請ボタン切替	規程粗利未満→上司への承認申請	実装済	OK	core-uat-e2e	2026-06-03	
32	ユーザー画面	1-5 上長承認	見積詳細 > 承認申請	/quotes/[id]	承認申請フォーム表示	粗利低下理由・承認者選択	実装済	OK	core-uat-e2e	2026-06-03	
33	ユーザー画面	1-5 上長承認	承認申請フォーム	/quotes/[id]	申請コメント入力/承認者選択	特別な事情コメント+承認者指定	実装済	OK	core-uat-e2e	2026-06-03	
34	ユーザー画面	1-5 上長承認	サイドバー > ポータル > ワークフロー	/workflow/[id]	チャットスレッド自動生成	見積紐付け+申請コメント初回投稿	実装済	OK	core-uat-e2e	2026-06-03	workflow_comments.message修正
35	ユーザー画面	1-5 上長承認	通知/ワークフロー	/dashboard /workflow	上長へ3経路通知	バナー/お知らせ/ToDoフラグ	実装済	OK	core-uat-e2e	2026-06-03	
36	ユーザー画面	1-5 上長承認	サイドバー > ポータル > ワークフロー	/workflow	上長が見積+スレッド確認	承認待ち一覧から開く	実装済	OK	core-uat-e2e	2026-06-03	
37	ユーザー画面	1-5 上長承認	ワークフロー	/workflow	Linq承認支援(類似見積・妥当性)	AIサポート情報表示	部分実装	保留(AI)	core-uat-e2e	2026-06-03	AIプロバイダーは後で選定
38	ユーザー画面	1-5 上長承認	ワークフロー	/workflow	承認/条件付き/差戻し/却下	各操作と結果通知	実装済	OK	core-uat-e2e	2026-06-03	
39	ユーザー画面	1-5 上長承認	見積詳細	/quotes/[id]	結果が見積に反映	approval_status同期	実装済	OK	core-uat-e2e	2026-06-03	
40	ユーザー画面	1-6 受注〜引き継ぎ	サイドバー > リード > 顧客・商談管理	/crm?view=pipeline	商談パイプライン(カンバン)表示	ステージ別カンバン	実装済	OK	core-uat-e2e	2026-06-03	
41	ユーザー画面	1-6 受注〜引き継ぎ	商談パイプライン	/crm パイプライン	カードを受注ステージへD&D	ドラッグ→受注確定ダイアログ	実装済	OK	core-uat-e2e	2026-06-03	通し未確認
42	ユーザー画面	1-6 受注〜引き継ぎ	受注確定ダイアログ	/crm	受注内容確認→受注確定	顧客名・金額・日を確認	実装済	OK	core-uat-e2e	2026-06-03	
43	ユーザー画面	1-6 受注〜引き継ぎ	サイドバー > 生産 > 契約管理	/contracts	契約レコード自動登録	商談・仮見積・顧客を引用	実装済	OK	core-uat-e2e	2026-06-03	
44	ユーザー画面	1-6 受注〜引き継ぎ	サイドバー > 生産 > 工事管理	/constructions/new	工事登録フォーム自動表示+転記	顧客名・住所・金額・見積項目	実装済	OK	core-uat-e2e	2026-06-03	
45	ユーザー画面	1-6 受注〜引き継ぎ	工事登録フォーム	/constructions/new	AI推定工期	開始/終了日提案	部分実装	保留(AI)	core-uat-e2e	2026-06-03	AIプロバイダーは後で選定
46	ユーザー画面	1-6 受注〜引き継ぎ	工事登録フォーム	/constructions/new	AI現場担当者推薦	assigned_to提案	部分実装	保留(AI)	core-uat-e2e	2026-06-03	AIプロバイダーは後で選定
47	ユーザー画面	1-6 受注〜引き継ぎ	ToDo	/todos	現場担当へToDo通知	引き継ぎ通知	実装済	OK	core-uat-e2e	2026-06-03	
48	ユーザー画面	1-7 契約書〜電子署名	サイドバー > 生産 > 契約管理	/contracts/[id]	契約案件を開く	1-6で自動登録済み案件	実装済	OK	core-uat-e2e	2026-06-03	
49	ユーザー画面	1-7 契約書〜電子署名	契約詳細 > 書類作成タブ	/contracts/[id]	書類作成タブ表示	テンプレ選択+PDFプレビュー	部分実装	OK	core-uat-e2e	2026-06-03	
50	ユーザー画面	1-7 契約書〜電子署名	契約詳細 > 書類作成タブ	/contracts/[id]	契約書テンプレート選択	新築/リフォーム/商業施設等	部分実装	OK	core-uat-e2e	2026-06-03	テナント設定で事前登録
51	ユーザー画面	1-7 契約書〜電子署名	契約詳細(AI)	/contracts/[id]	Linqがマッピング項目自動入力	商談ナレッジ・顧客・口座情報	部分実装	保留(AI)	core-uat-e2e	2026-06-03	AI自動入力ボタン
52	ユーザー画面	1-7 契約書〜電子署名	契約詳細	/contracts/[id]	PDFプレビュー+リアルタイム自動保存	編集→即時保存	部分実装	OK	core-uat-e2e	2026-06-03	
53	ユーザー画面	1-7 契約書〜電子署名	契約詳細	/contracts/[id]	社内承認を取るか確認	編集確定後の確認	実装済	OK	core-uat-e2e	2026-06-03	確認ダイアログ追加
54	ユーザー画面	1-7 契約書〜電子署名	サイドバー > ポータル > ワークフロー	/workflow	多段階社内承認WF	営業部長/工事課長/取締役等(総務追記)	部分実装	OK	core-uat-e2e	2026-06-03	未設定時ロール順3段階
55	ユーザー画面	1-7 契約書〜電子署名	契約詳細 > CloudSign	/contracts/[id]	CloudSign送信	電子署名依頼API	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	APIキー要(テナント設定)
56	システム(API)	1-7 契約書〜電子署名	(外部Webhook)	/api/webhooks/cloudsign	CloudSign Webhook→締結済	署名完了→status=contracted	実装済	OK	core-uat-e2e	2026-06-03	UIではなくAPI
57	ユーザー画面	1-7 契約書〜電子署名	契約詳細	/contracts/[id]	署名完了ステータス表示	cloudsign_status=signed	実装済	OK	core-uat-e2e	2026-06-03	
=== B. ユーザー画面: 画面別総点検 ===										
58	ユーザー画面	ダッシュボード	サイドバー > ダッシュボード > ダッシュボード	/dashboard	各種ウィジェット表示	KPI/勤怠/ToDo/通知サマリ	実装済	OK	core-uat-e2e	2026-06-03	
59	ユーザー画面	ダッシュボード	サイドバー > ダッシュボード > ダッシュボード	/dashboard	ウィジェット並べ替え	D&Dで配置変更	実装済	OK	core-uat-e2e	2026-06-03	SortableWidget
60	ユーザー画面	ダッシュボード	サイドバー > ダッシュボード > BIダッシュボード	/bi	目標vs実績の円形達成率	売上・粗利・営業利益	実装済	OK	core-uat-e2e	2026-06-03	権限:本部/施工店管理者
61	ユーザー画面	ダッシュボード	サイドバー > ダッシュボード > BIダッシュボード	/bi	P&Lウォーターフォール	月次/四半期/年次推移	実装済	OK	core-uat-e2e	2026-06-03	
62	ユーザー画面	ダッシュボード	サイドバー > ダッシュボード > BIダッシュボード	/bi	部門別KPI/月次按分	売上構成比按分	実装済	OK	core-uat-e2e	2026-06-03	
63	ユーザー画面	ダッシュボード	BI > 期首設定	/bi/settings	期首設定・分析ルール・着地tier	設定保存→KPI再取得	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
64	ユーザー画面	リード(CRM)	サイドバー > リード > 顧客・商談管理	/crm	顧客 登録・編集・検索・削除	法人/個人タブ、カード/テーブル切替	実装済	OK	core-uat-e2e	2026-06-03	
65	ユーザー画面	リード(CRM)	サイドバー > リード > 顧客・商談管理	/crm	担当者アサイン・獲得ソース記録	担当・ソース・ステータス	実装済	OK	core-uat-e2e	2026-06-03	
66	ユーザー画面	リード(CRM)	顧客詳細	/crm/[id]	関連データ参照(商談/見積/契約/工事)	一覧表示	実装済	OK	core-uat-e2e	2026-06-03	
67	ユーザー画面	リード(CRM)	顧客詳細	/crm/[id]	タグ付与(マスタ+フォーム)	タグ管理	実装済	OK	core-uat-e2e	2026-06-03	
68	ユーザー画面	リード(CRM)	サイドバー > リード > 顧客・商談管理	/crm?view=pipeline	商談パイプライン カンバンD&D	ステージ変更→DB即時反映	実装済	OK	core-uat-e2e	2026-06-03	
69	ユーザー画面	リード(CRM)	商談パイプライン	/crm パイプライン	KPIバー(商談数/総額/受注率)	担当者フィルタ	実装済	OK	core-uat-e2e	2026-06-03	
70	ユーザー画面	リード(CRM)	商談	/crm	商談 追加・編集・削除	CRUD	実装済	OK	core-uat-e2e	2026-06-03	
71	ユーザー画面	リード(見積)	サイドバー > リード > 見積管理	/quotes	見積 作成・編集・削除・ステータス	下書き/送付済/受理/却下	実装済	OK	core-uat-e2e	2026-06-03	
72	ユーザー画面	リード(見積)	見積詳細	/quotes/[id]	明細行CRUD・粗利/粗利率自動計算	リアルタイム計算	実装済	OK	core-uat-e2e	2026-06-03	
73	ユーザー画面	リード(見積)	工事詳細 > 見積もりタブ	/constructions/[id]	1工事に複数見積・版管理	revision管理	実装済	OK	core-uat-e2e	2026-06-03	
74	ユーザー画面	リード(職人)	サイドバー > リード > 職人管理	/craftsmen	職人 登録・編集・削除	専門分野・ランク(A/B/C)・資格	実装済	OK	core-uat-e2e	2026-06-03	
75	ユーザー画面	リード(職人)	サイドバー > リード > 職人管理	/craftsmen	カード/リスト切替・分野フィルタ	表示切替	実装済	OK	core-uat-e2e	2026-06-03	
76	ユーザー画面	リード(職人)	職人詳細	/craftsmen/[id]	進行中案件数・累計受注額	稼働状況表示	実装済	OK	core-uat-e2e	2026-06-03	
77	ユーザー画面	生産(契約)	サイドバー > 生産 > 契約管理	/contracts	契約 登録・編集・削除・ステータス	下書き/締結済/完了/解除	実装済	OK	core-uat-e2e	2026-06-03	
78	ユーザー画面	生産(契約)	契約詳細	/contracts/[id]	顧客・見積紐付け、工期・金額管理	契約金額/契約日/着工/完工	実装済	OK	core-uat-e2e	2026-06-03	
79	ユーザー画面	生産(契約)	契約一覧	/contracts	金額サマリー表示	合計表示	実装済	OK	core-uat-e2e	2026-06-03	
80	ユーザー画面	生産(工事)	サイドバー > 生産 > 工事管理	/constructions	工事 進捗・コスト・担当者管理	一覧表示	実装済	OK	core-uat-e2e	2026-06-03	
81	ユーザー画面	生産(工事)	工事詳細 > 工程表タブ	/constructions/[id]	ガントチャート	工程表表示	実装済	OK	core-uat-e2e	2026-06-03	
82	ユーザー画面	生産(工事)	工事詳細 > 追加変更タブ	/constructions/[id]	追加変更(CloudSign B案)	差額・明細比較・承認	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	APIキー要
83	ユーザー画面	生産(工事)	工事詳細 > 工事台帳タブ	/constructions/[id]	工事台帳(原価管理)永続化	下請ごと実行予算・粗利計算	実装済	OK	core-uat-e2e	2026-06-03	
84	ユーザー画面	生産(工事)	工事詳細 > 発注書タブ	/constructions/[id]	発注書・支払スケジュール	2/4/6/12回	実装済	OK	core-uat-e2e	2026-06-03	
85	ユーザー画面	生産(工事)	工事詳細 > 請求書タブ	/constructions/[id]	請求 作成・月次生成	締日ベース月次請求	実装済	OK	core-uat-e2e	2026-06-03	
86	ユーザー画面	生産(請求)	サイドバー > 生産 > 請求管理	/invoices	請求 明細編集・消費税・ステータス	下書き/送付/入金/キャンセル	実装済	OK	core-uat-e2e	2026-06-03	
87	ユーザー画面	生産(請求)	請求一覧	/invoices	入金サマリー・ブラウザ印刷	集計+印刷	実装済	OK	core-uat-e2e	2026-06-03	
88	ユーザー画面	生産(予算)	サイドバー > 生産 > 予算管理	/budget	年度予算 策定・承認・削除	計画対実績・達成率	実装済	OK	core-uat-e2e	2026-06-03	
89	ユーザー画面	ポータル	サイドバー > ポータル > カレンダー	/calendar	日/週/月表示・イベントCRUD	メンバー色分け	実装済	OK	core-uat-e2e	2026-06-03	
90	ユーザー画面	ポータル	サイドバー > ポータル > カレンダー	/calendar	Googleカレンダー双方向同期	OAuth連携時	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	要OAuth
91	ユーザー画面	ポータル	サイドバー > ポータル > メール	/mail	受信スレッド同期・送信/返信	Gmail OAuth/IMAP/手動	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	要OAuth(未連携はデモ)
92	ユーザー画面	ポータル	サイドバー > ポータル > メール	/mail	既読・スター管理	スレッド操作	実装済	OK	core-uat-e2e	2026-06-03	
93	ユーザー画面	ポータル	サイドバー > ポータル > 勤怠	/attendance	出退勤打刻・休暇区分	有給/特休/半日等	実装済	OK	core-uat-e2e	2026-06-03	
94	ユーザー画面	ポータル	サイドバー > ポータル > 勤怠	/attendance	月次集計・管理者承認	出勤日数/実労働/残業/承認	実装済	OK	core-uat-e2e	2026-06-03	
95	ユーザー画面	ポータル	サイドバー > ポータル > ワークフロー	/workflow	申請種別・承認ルート設定	カスタム種別・多段承認	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
96	ユーザー画面	ポータル	サイドバー > ポータル > ワークフロー	/workflow	動的フォーム・コメント・差戻し	申請中/承認済/却下	実装済	OK	core-uat-e2e	2026-06-03	
97	ユーザー画面	ポータル	サイドバー > ポータル > 回覧	/circulation	お知らせ 投稿・編集・削除	緊急/ピン留め/ロール別配信	実装済	OK	core-uat-e2e	2026-06-03	
98	ユーザー画面	ポータル	サイドバー > ポータル > 回覧	/circulation	自動既読・コメント・未読バッジ	閲覧記録	実装済	OK	core-uat-e2e	2026-06-03	
99	ユーザー画面	ポータル	サイドバー > ポータル > 文書管理	/documents	文書 アップロード/DL/削除	顧客・工事紐付け	実装済	OK	core-uat-e2e	2026-06-03	
100	ユーザー画面	ポータル	サイドバー > ポータル > 文書管理	/documents	リスト/グリッド・カテゴリ・検索	分類・キーワード検索	実装済	OK	core-uat-e2e	2026-06-03	
101	ユーザー画面	共通UI	サイドバー下部 > 検索	(検索ダイアログ)	グローバル検索(顧客/工事/商談)	横断検索	実装済	OK	core-uat-e2e	2026-06-03	
102	ユーザー画面	共通UI	サイドバー下部 > 通知ベル	(通知パネル)	未読お知らせ・承認待ち通知	60秒間隔更新・バッジ	実装済	OK	core-uat-e2e	2026-06-03	
103	ユーザー画面	共通UI	サイドバー下部 > アカウント	(ドロップダウン)	プロフィール/設定/ログアウト	メニュー遷移	実装済	OK	core-uat-e2e	2026-06-03	
104	ユーザー画面	テナント設定	アカウント > 設定 > プロフィール	/settings	プロフィール・パスワード変更	個人設定	実装済	OK	core-uat-e2e	2026-06-03	
105	ユーザー画面	テナント設定	アカウント > 設定 > 会社情報	/settings	会社情報・CloudSign・請求締日	20日/月末締め設定	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
106	ユーザー画面	テナント設定	アカウント > 設定 > メンバー	/settings	メンバー招待・ロール変更	権限割当	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
107	ユーザー画面	テナント設定	アカウント > 設定 > 通知/署名	/settings	通知ON/OFF・メール署名	個人/会社設定	実装済	OK	core-uat-e2e	2026-06-03	
108	ユーザー画面	テナント設定	アカウント > 設定 > 勤怠/WF種別	/settings	勤怠設定・ワークフロー種別	所定時刻/休憩/種別	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
109	ユーザー画面	テナント設定	アカウント > 設定 > マスタ	/settings	CRM/職人マスタ管理	タグ/分野等マスタ	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
110	ユーザー画面	テナント設定	アカウント > 設定 > アプリ連携	/settings	Chatwork/Slack等8種連携	トークン/Webhook・テスト送信	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
111	ユーザー画面	テナント設定	アカウント > 設定 > Webhook	/settings	アウトバウンドWebhook登録	イベント→外部URL POST	実装済	OK	core-uat-e2e	2026-06-03	テナント管理者向け
112	ユーザー画面	テナント設定	アカウント > 設定	/settings	AI設定項目が無い(運営のみ)	テナントからAI変更不可	実装済	OK	core-uat-e2e	2026-06-03	/admin?tab=aiのみ
113	ユーザー画面	権限	(全メニュー)	—	ロール別メニュー表示制限	RLS+Middleware二重制御	実装済	OK	core-uat-e2e	2026-06-03	
114	ユーザー画面	権限	(URL直打ち)	/bi /crm /quotes等	権限外ルートでunauthorized	/unauthorizedへ	実装済	OK	core-uat-e2e	2026-06-03	
115	ユーザー画面	横断	—	—	1-1→1-7を1セッションで通し確認	全フロー手動UAT	実装済	OK	core-uat-e2e	2026-06-03	2026-06-03 UAT OK。勤怠RLS修復(00045)・inbound-lead API修復済
=== C. 運営管理画面 ===										
116	運営管理画面	認証	(運営ログイン)	/admin/login	運営者ログイン	super-admin認証	実装済	OK	core-uat-e2e	2026-06-03	super-admin@example.com
117	運営管理画面	ダッシュボード	運営サイドバー > 管理コンソール	/admin	プラットフォームKPI表示	登録企業数/総ユーザー/工事/契約	実装済	OK	core-uat-e2e	2026-06-03	
118	運営管理画面	全国BI	運営 > 全国 BI タブ	/admin?tab=bi	加盟店ランキング・BIサマリ表示	受注額/粗利/粗利率等	実装済	OK	core-uat-e2e	2026-06-03	
119	運営管理画面	全国BI	運営 > レポート出力	/admin	加盟店BI CSVエクスポート	CSVダウンロード	実装済	OK	core-uat-e2e	2026-06-03	
120	運営管理画面	企業管理	運営 > 企業一覧 タブ	/admin?tab=companies	企業一覧表示	登録企業・メンバー数	実装済	OK	core-uat-e2e	2026-06-03	
121	運営管理画面	企業管理	運営 > 企業一覧 タブ	/admin?tab=companies	企業追加	新規テナント作成	実装済	OK	core-uat-e2e	2026-06-03	
122	運営管理画面	企業管理	運営 > 企業一覧 タブ	/admin?tab=companies	企業削除	紐付くデータ含む削除確認	実装済	OK	core-uat-e2e	2026-06-03	
123	運営管理画面	企業管理	運営 > レポート出力	/admin	企業一覧 CSVエクスポート	CSVダウンロード	実装済	OK	core-uat-e2e	2026-06-03	
124	運営管理画面	企業管理	運営 > レポート出力	/admin	ユーザー一覧 CSVエクスポート	全テナント横断	実装済	OK	core-uat-e2e	2026-06-03	
125	運営管理画面	AI設定	運営 > AI設定 タブ	/admin?tab=ai	AI機能の有効/無効切替	全テナント共通	実装済	保留(AI)	core-uat-e2e	2026-06-03	AIプロバイダーは後で選定
126	運営管理画面	AI設定	運営 > AI設定 タブ	/admin?tab=ai	AI APIキー保存	platform_settingsに保存	実装済	保留(AI)	core-uat-e2e	2026-06-03	プロバイダー選定後にUAT
127	運営管理画面	AI設定	運営 > AI設定 タブ	/admin?tab=ai	AI接続テスト	保存/接続確認	実装済	保留(AI)	core-uat-e2e	2026-06-03	プロバイダー選定後にUAT
128	運営管理画面	ナビ	運営サイドバー	/admin	全国加盟店BI/企業一覧ナビ	タブ切替	実装済	OK	core-uat-e2e	2026-06-03	
